Keyword,System,Sub-type,Type,Language
Aedes albopictus,Aedes-borne disease system,Aedes,Animal,Latin
Aedes mosquito,Aedes-borne disease system,Aedes,Animal,English
Asian tiger mosquito,Aedes-borne disease system,Aedes,Animal,English
Tiger mosquito,Aedes-borne disease system,Aedes,Animal,English
Zika,Aedes-borne disease system,Zika,Disease,All
Zika virus,Aedes-borne disease system,Zika,Disease,English
Zika fever,Aedes-borne disease system,Zika,Disease,English
Dengue,Aedes-borne disease system,Dengue,Disease,All
Dengue fever,Aedes-borne disease system,Dengue,Disease,English
Breakbone fever,Aedes-borne disease system,Dengue,Disease,English
Break-bone fever,Aedes-borne disease system,Dengue,Disease,English
Break bone fever,Aedes-borne disease system,Dengue,Disease,English
Chikungunya,Aedes-borne disease system,Chikungunya,Disease,All
Chikungunya virus,Aedes-borne disease system,Chikungunya,Disease,English
West Nile virus,Culex-borne disease system,West Nile,Disease,English
West Nile fever,Culex-borne disease system,West Nile,Disease,English
West Nile disease,Culex-borne disease system,West Nile,Disease,English
Culex pipiens,Culex-borne disease system,Culex,Animal,Latin
Common house mosquito,Culex-borne disease system,Culex,Animal,English
Culex mosquito,Culex-borne disease system,Culex,Animal,English
Usutu virus,Culex-borne disease system,Usutu,Disease,English
Culex torrentium,Culex-borne disease system,Culex,Animal,Latin
Culex modestus,Culex-borne disease system,Culex,Animal,Latin
Mosquito Aedes,Aedes-borne disease system,Aedes,Anmial,Spanish
Mosquito tigre,Aedes-borne disease system,Aedes,Anmial,Spanish
Virus del Zika,Aedes-borne disease system,Zika,Disease,Spanish
Virus Zika,Aedes-borne disease system,Zika,Disease,Spanish
Fiebre del Zika,Aedes-borne disease system,Zika,Disease,Spanish
Fiebre del dengue,Aedes-borne disease system,Dengue,Disease,Spanish
Virus Chikungunya,Aedes-borne disease system,Chikungunya,Disease,Spanish
Virus Chikunguña,Aedes-borne disease system,Chikungunya,Disease,Spanish
Mosquito tigre asiático,Aedes-borne disease system,Aedes,Animal,Spanish
Fiebre rompehuesos,Aedes-borne disease system,Dengue,Disease,Spanish
Quebrantahuesos,Aedes-borne disease system,Dengue,Disease,Spanish
Virus del Nilo Occidental,Culex-borne disease system,West Nile,Disease,Spanish
Fiebre del Nilo Occidental,Culex-borne disease system,West Nile,Disease,Spanish
