time [UTC],DE::Mücke,AT::Mücke,CH::Mücke,IT::Zanzara,ES::Mosquito,FR::Moustique
2010-01-01,32.111111111111114,47.22222222222222,16.08695652173913,5.0,7.0,3.0
2010-02-01,24.333333333333332,40.666666666666664,,6.0,8.0,3.0
2010-03-01,25.22222222222222,37.333333333333336,29.695652173913043,7.0,8.0,3.0
2010-04-01,25.22222222222222,34.77777777777778,24.608695652173914,10.0,10.0,4.0
2010-05-01,25.22222222222222,39.888888888888886,22.08695652173913,14.0,11.0,6.0
2010-06-01,27.77777777777778,39.666666666666664,17.73913043478261,17.0,13.0,15.0
2010-07-01,33.0,53.22222222222222,33.08695652173913,24.0,19.0,23.0
2010-08-01,30.333333333333332,31.22222222222222,44.08695652173913,28.0,19.0,14.0
2010-09-01,28.666666666666668,45.44444444444444,28.82608695652174,16.0,15.0,10.0
2010-10-01,24.333333333333332,30.22222222222222,24.608695652173914,10.0,9.0,5.0
2010-11-01,22.666666666666668,38.111111111111114,16.08695652173913,8.0,8.0,3.0
2010-12-01,23.333333333333332,41.55555555555556,,8.0,7.0,2.0
2011-01-01,29.555555555555557,34.44444444444444,21.26086956521739,7.0,7.0,3.0
2011-02-01,31.333333333333332,29.666666666666668,18.608695652173914,9.0,8.0,3.0
2011-03-01,34.77777777777778,38.77777777777778,,8.0,7.0,3.0
2011-04-01,39.111111111111114,38.333333333333336,18.608695652173914,12.0,10.0,7.0
2011-05-01,34.77777777777778,40.77777777777778,32.21739130434783,14.0,14.0,10.0
2011-06-01,35.666666666666664,37.77777777777778,32.26086956521739,23.0,18.0,11.0
2011-07-01,37.333333333333336,39.888888888888886,17.782608695652176,23.0,21.0,12.0
2011-08-01,44.333333333333336,49.666666666666664,47.47826086956522,31.0,22.0,17.0
2011-09-01,41.666666666666664,33.111111111111114,36.52173913043478,23.0,17.0,9.0
2011-10-01,37.333333333333336,28.88888888888889,22.08695652173913,17.0,12.0,6.0
2011-11-01,32.111111111111114,28.333333333333332,17.782608695652176,14.0,8.0,4.0
2011-12-01,27.0,28.333333333333332,15.26086956521739,9.0,7.0,3.0
2012-01-01,29.555555555555557,29.0,24.565217391304348,9.0,7.0,4.0
2012-02-01,30.333333333333332,24.666666666666668,14.434782608695652,10.0,8.0,3.0
2012-03-01,39.0,26.11111111111111,22.08695652173913,13.0,9.0,4.0
2012-04-01,35.55555555555556,27.666666666666668,19.565217391304348,14.0,9.0,5.0
2012-05-01,39.888888888888886,25.666666666666668,19.565217391304348,19.0,14.0,13.0
2012-06-01,42.55555555555556,34.77777777777778,31.391304347826086,26.0,22.0,18.0
2012-07-01,44.333333333333336,35.77777777777778,35.69565217391305,31.0,22.0,22.0
2012-08-01,43.44444444444444,38.111111111111114,35.69565217391305,31.0,26.0,29.0
2012-09-01,46.111111111111114,38.111111111111114,26.26086956521739,25.0,16.0,11.0
2012-10-01,38.333333333333336,26.666666666666668,25.391304347826086,18.0,11.0,6.0
2012-11-01,35.55555555555556,27.0,20.391304347826086,12.0,9.0,4.0
2012-12-01,33.888888888888886,23.11111111111111,28.0,14.0,7.0,3.0
2013-01-01,35.77777777777778,27.333333333333332,26.26086956521739,12.0,7.0,3.0
2013-02-01,35.666666666666664,28.88888888888889,9.304347826086957,14.0,7.0,4.0
2013-03-01,35.55555555555556,28.444444444444443,16.956521739130434,19.0,9.0,4.0
2013-04-01,37.333333333333336,17.0,22.08695652173913,29.0,13.0,6.0
2013-05-01,41.666666666666664,35.111111111111114,25.434782608695652,23.0,14.0,9.0
2013-06-01,48.666666666666664,33.111111111111114,29.73913043478261,27.0,21.0,21.0
2013-07-01,65.0,42.44444444444444,50.91304347826087,30.0,29.0,51.0
2013-08-01,55.666666666666664,33.111111111111114,67.0,31.0,32.0,31.0
2013-09-01,43.55555555555556,32.44444444444444,42.43478260869565,28.0,19.0,12.0
2013-10-01,39.111111111111114,31.88888888888889,25.391304347826086,22.0,16.0,8.0
2013-11-01,47.77777777777778,42.111111111111114,35.69565217391305,15.0,11.0,4.0
2013-12-01,32.22222222222222,28.22222222222222,19.47826086956522,12.0,8.0,3.0
2014-01-01,36.55555555555556,32.666666666666664,18.608695652173914,12.0,8.0,4.0
2014-02-01,36.55555555555556,32.0,19.47826086956522,22.0,8.0,5.0
2014-03-01,40.888888888888886,36.55555555555556,22.08695652173913,16.0,10.0,6.0
2014-04-01,44.333333333333336,32.55555555555556,26.26086956521739,18.0,14.0,13.0
2014-05-01,41.666666666666664,27.666666666666668,30.043478260869566,24.0,19.0,11.0
2014-06-01,45.111111111111114,43.666666666666664,34.82608695652174,29.0,27.0,37.0
2014-07-01,53.111111111111114,39.55555555555556,33.08695652173913,32.0,33.0,47.0
2014-08-01,53.888888888888886,36.55555555555556,45.0,34.0,32.857142857142854,35.0
2014-09-01,52.111111111111114,43.666666666666664,41.52173913043478,29.0,25.0,22.0
2014-10-01,41.77777777777778,41.888888888888886,26.26086956521739,24.0,23.0,14.0
2014-11-01,40.888888888888886,44.44444444444444,29.695652173913043,17.0,13.0,6.0
2014-12-01,40.888888888888886,38.44444444444444,25.434782608695652,13.0,9.0,4.0
2015-01-01,39.111111111111114,38.44444444444444,25.434782608695652,16.0,8.0,4.0
2015-02-01,36.55555555555556,39.44444444444444,18.608695652173914,16.0,9.0,4.0
2015-03-01,40.0,26.77777777777778,17.73913043478261,17.0,12.0,5.0
2015-04-01,44.333333333333336,34.55555555555556,28.82608695652174,19.0,15.0,9.0
2015-05-01,42.55555555555556,35.77777777777778,40.65217391304348,27.0,23.0,18.0
2015-06-01,46.888888888888886,41.55555555555556,45.0,36.0,31.0,42.0
2015-07-01,57.44444444444444,48.333333333333336,69.6086956521739,43.0,37.0,54.0
2015-08-01,56.44444444444444,38.44444444444444,74.69565217391305,36.0,68.0,46.0
2015-09-01,46.111111111111114,30.77777777777778,49.17391304347826,30.0,38.0,17.0
2015-10-01,43.55555555555556,28.88888888888889,28.869565217391305,22.0,21.0,8.0
2015-11-01,39.111111111111114,29.0,26.217391304347824,21.0,14.0,6.0
2015-12-01,47.77777777777778,38.111111111111114,26.217391304347824,18.0,10.0,5.0
2016-01-01,44.333333333333336,26.444444444444443,33.08695652173913,23.0,22.0,10.0
2016-02-01,42.55555555555556,33.77777777777778,50.0,30.0,29.0,14.0
2016-03-01,40.77777777777778,32.0,23.695652173913043,26.0,16.0,8.0
2016-04-01,41.77777777777778,34.888888888888886,27.17391304347826,29.0,17.0,10.0
2016-05-01,46.111111111111114,35.888888888888886,38.65217391304348,28.0,25.0,20.0
2016-06-01,59.888888888888886,51.888888888888886,46.69565217391305,36.0,45.0,41.0
2016-07-01,64.33333333333333,51.44444444444444,75.52173913043478,42.0,45.0,79.0
2016-08-01,60.888888888888886,42.666666666666664,72.08695652173913,33.0,42.142857142857146,42.0
2016-09-01,63.44444444444444,46.111111111111114,69.1304347826087,34.0,29.0,23.0
2016-10-01,49.55555555555556,34.44444444444444,42.78260869565217,26.0,22.0,9.0
2016-11-01,42.55555555555556,40.888888888888886,22.08695652173913,24.0,12.0,5.0
2016-12-01,37.333333333333336,27.333333333333332,28.043478260869566,21.0,9.142857142857142,4.0
2017-01-01,44.333333333333336,34.111111111111114,42.34782608695652,19.0,9.0,5.0
2017-02-01,43.44444444444444,30.88888888888889,16.956521739130434,22.0,10.0,6.0
2017-03-01,41.666666666666664,32.0,23.695652173913043,23.0,14.0,7.0
2017-04-01,40.888888888888886,32.0,23.782608695652176,29.0,19.0,10.0
2017-05-01,50.44444444444444,31.22222222222222,35.69565217391305,28.0,25.0,22.0
2017-06-01,56.44444444444444,32.55555555555556,45.869565217391305,44.0,37.0,42.0
2017-07-01,60.888888888888886,39.111111111111114,56.82608695652174,44.0,41.0,43.0
2017-08-01,61.666666666666664,39.888888888888886,57.65217391304348,30.0,40.0,44.0
2017-09-01,52.111111111111114,29.0,39.82608695652174,66.0,28.0,14.0
2017-10-01,46.888888888888886,32.0,33.91304347826087,31.0,22.0,11.0
2017-11-01,40.77777777777778,24.77777777777778,19.47826086956522,23.0,13.0,5.0
2017-12-01,38.333333333333336,22.333333333333332,20.391304347826086,21.0,10.0,4.0
2018-01-01,40.0,24.666666666666668,17.73913043478261,19.0,9.0,5.0
2018-02-01,38.333333333333336,24.22222222222222,20.391304347826086,22.0,9.0,5.0
2018-03-01,39.888888888888886,24.88888888888889,19.47826086956522,23.0,11.0,6.0
2018-04-01,46.111111111111114,31.333333333333332,35.69565217391305,27.0,17.0,29.0
2018-05-01,55.666666666666664,35.333333333333336,41.52173913043478,35.0,26.0,61.0
2018-06-01,53.888888888888886,34.111111111111114,46.65217391304348,49.0,41.0,67.0
2018-07-01,66.11111111111111,35.888888888888886,66.21739130434783,56.0,52.0,94.0
2018-08-01,57.333333333333336,41.888888888888886,59.43478260869565,68.0,54.0,70.0
2018-09-01,59.888888888888886,44.77777777777778,58.608695652173914,62.0,43.142857142857146,31.0
2018-10-01,45.333333333333336,30.77777777777778,36.47826086956522,28.0,26.0,14.0
2018-11-01,45.111111111111114,25.555555555555557,26.217391304347824,26.0,13.0,7.0
2018-12-01,40.0,24.77777777777778,20.391304347826086,23.0,10.0,5.0
2019-01-01,39.111111111111114,20.666666666666668,20.391304347826086,20.0,10.0,6.0
2019-02-01,40.888888888888886,21.22222222222222,17.73913043478261,23.0,11.0,7.0
2019-03-01,50.44444444444444,19.88888888888889,21.26086956521739,22.0,14.0,9.0
2019-04-01,47.0,30.22222222222222,26.26086956521739,24.0,15.0,18.0
2019-05-01,46.111111111111114,28.22222222222222,24.608695652173914,27.0,22.0,25.0
2019-06-01,70.44444444444444,50.888888888888886,55.130434782608695,48.0,47.0,68.0
2019-07-01,58.333333333333336,44.77777777777778,84.82608695652173,52.0,47.0,75.0
2019-08-01,58.22222222222222,38.333333333333336,64.43478260869566,43.0,45.0,62.0
2019-09-01,52.111111111111114,30.22222222222222,59.391304347826086,39.0,37.0,26.0
2019-10-01,46.111111111111114,24.77777777777778,45.0,34.0,26.0,14.0
2019-11-01,42.55555555555556,23.0,22.08695652173913,23.0,13.0,7.0
2019-12-01,41.666666666666664,25.11111111111111,23.695652173913043,22.0,10.857142857142858,6.0
2020-01-01,47.77777777777778,24.88888888888889,30.52173913043478,23.0,11.0,7.0
2020-02-01,40.888888888888886,18.555555555555557,22.08695652173913,26.0,13.0,7.0
2020-03-01,34.77777777777778,19.666666666666668,21.26086956521739,24.0,13.0,8.0
2020-04-01,44.333333333333336,24.333333333333332,34.82608695652174,30.0,16.0,22.0
2020-05-01,53.111111111111114,23.77777777777778,40.69565217391305,38.0,36.0,59.0
2020-06-01,60.111111111111114,32.55555555555556,45.82608695652174,43.0,44.0,58.0
2020-07-01,66.11111111111111,43.0,72.08695652173913,46.0,42.0,71.0
2020-08-01,82.66666666666667,46.55555555555556,74.69565217391305,36.0,100.0,70.0
2020-09-01,59.111111111111114,36.55555555555556,67.04347826086956,38.0,36.0,33.0
2020-10-01,52.111111111111114,26.444444444444443,33.91304347826087,36.0,18.0,8.0
2020-11-01,40.0,11.88888888888889,28.0,28.0,12.0,7.0
2020-12-01,39.111111111111114,17.77777777777778,16.956521739130434,25.0,9.0,5.0
2021-01-01,38.333333333333336,21.77777777777778,16.08695652173913,21.0,9.0,5.0
2021-02-01,39.888888888888886,21.11111111111111,22.08695652173913,25.0,11.0,5.0
2021-03-01,62.55555555555556,23.22222222222222,18.652173913043477,24.0,13.0,7.0
2021-04-01,58.22222222222222,32.333333333333336,22.08695652173913,23.0,15.0,11.0
2021-05-01,68.66666666666667,24.88888888888889,28.0,27.0,23.0,18.0
2021-06-01,76.44444444444444,34.111111111111114,55.91304347826087,37.0,34.0,59.0
2021-07-01,70.44444444444444,29.0,55.95652173913044,44.0,34.0,66.0
2021-08-01,68.66666666666667,36.55555555555556,60.30434782608695,28.0,39.0,64.0
2021-09-01,59.111111111111114,30.77777777777778,59.43478260869565,35.0,27.0,34.0
2021-10-01,53.111111111111114,23.0,35.69565217391305,36.0,22.0,14.0
2021-11-01,45.333333333333336,25.88888888888889,28.043478260869566,27.0,12.0,6.0
2021-12-01,54.666666666666664,15.444444444444445,16.130434782608695,32.0,10.0,4.0
2022-01-01,43.55555555555556,26.444444444444443,21.26086956521739,24.0,10.0,5.0
2022-02-01,44.333333333333336,21.333333333333332,24.608695652173914,25.0,12.0,6.0
2022-03-01,43.44444444444444,27.11111111111111,27.217391304347824,26.0,13.0,9.0
2022-04-01,44.333333333333336,27.666666666666668,28.0,27.0,17.0,13.0
2022-05-01,59.111111111111114,32.0,39.04347826086956,39.0,32.0,47.0
2022-06-01,79.11111111111111,43.666666666666664,55.130434782608695,56.0,42.0,59.0
2022-07-01,65.22222222222223,35.44444444444444,57.78260869565217,58.0,43.0,85.0
2022-08-01,71.33333333333333,34.333333333333336,52.65217391304348,58.0,40.0,72.0
2022-09-01,59.888888888888886,29.333333333333332,41.56521739130435,46.0,29.0,39.0
2022-10-01,46.111111111111114,25.88888888888889,37.30434782608695,41.0,26.0,19.0
2022-11-01,45.111111111111114,25.88888888888889,23.73913043478261,31.0,16.0,10.0
2022-12-01,42.55555555555556,24.77777777777778,23.782608695652176,24.0,12.0,6.0
2023-01-01,37.333333333333336,20.11111111111111,22.869565217391305,22.0,11.0,6.0
2023-02-01,40.0,17.11111111111111,14.391304347826088,25.0,11.0,7.0
2023-03-01,39.111111111111114,18.555555555555557,39.0,24.0,15.0,8.0
2023-04-01,43.44444444444444,20.333333333333332,31.391304347826086,29.0,21.0,18.0
2023-05-01,50.44444444444444,31.444444444444443,39.82608695652174,39.0,22.0,41.0
2023-06-01,71.33333333333333,48.333333333333336,65.34782608695652,64.0,56.0,100.0
2023-07-01,65.11111111111111,42.44444444444444,60.21739130434783,61.0,47.0,95.0
2023-08-01,74.66666666666667,29.0,76.34782608695652,44.0,49.0,86.0
2023-09-01,71.33333333333333,50.333333333333336,69.56521739130434,53.0,38.0,67.0
2023-10-01,47.77777777777778,33.55555555555556,55.91304347826087,46.0,34.0,28.0
2023-11-01,42.55555555555556,22.555555555555557,19.565217391304348,37.0,16.0,8.0
2023-12-01,37.333333333333336,22.444444444444443,17.73913043478261,27.0,13.0,7.0
2024-01-01,37.333333333333336,20.444444444444443,20.391304347826086,26.0,11.0,7.0
2024-02-01,39.111111111111114,23.444444444444443,16.08695652173913,28.0,14.0,9.0
2024-03-01,43.55555555555556,20.666666666666668,23.73913043478261,35.0,16.0,14.0
2024-04-01,47.0,25.11111111111111,33.08695652173913,40.0,24.0,23.0
2024-05-01,65.22222222222223,38.44444444444444,38.21739130434783,45.0,26.0,39.0
2024-06-01,63.44444444444444,44.44444444444444,61.08695652173913,53.0,34.0,57.0
2024-07-01,68.66666666666667,59.111111111111114,77.21739130434783,61.0,53.0,79.0
2024-08-01,71.33333333333333,52.888888888888886,78.0,51.0,63.0,95.0
2024-09-01,86.88888888888889,41.333333333333336,63.608695652173914,46.0,42.0,32.0
2024-10-01,42.666666666666664,23.77777777777778,33.91304347826087,45.0,28.0,17.0
2024-11-01,38.333333333333336,25.555555555555557,22.08695652173913,36.0,16.0,10.0
2024-12-01,37.333333333333336,24.0,27.17391304347826,28.0,12.0,6.0
2025-01-01,37.333333333333336,18.555555555555557,19.47826086956522,27.0,11.0,8.0
2025-02-01,36.55555555555556,19.444444444444443,20.391304347826086,26.0,12.0,8.0
2025-03-01,40.0,24.22222222222222,26.26086956521739,29.0,14.0,12.0
2025-04-01,43.44444444444444,19.88888888888889,27.17391304347826,29.0,22.0,24.0
2025-05-01,42.55555555555556,26.11111111111111,33.08695652173913,37.0,27.0,35.0
2025-06-01,56.44444444444444,44.888888888888886,60.30434782608695,53.0,43.0,71.0
2025-07-01,60.111111111111114,42.44444444444444,61.08695652173913,100.0,38.0,69.0
2025-08-01,63.44444444444444,47.44444444444444,64.43478260869566,79.0,52.0,79.0
2025-09-01,54.77777777777778,40.666666666666664,66.21739130434783,53.0,29.0,30.0
2025-10-01,41.77777777777778,28.22222222222222,29.73913043478261,35.0,24.0,14.0
2025-11-01,40.888888888888886,24.88888888888889,20.391304347826086,31.0,16.0,8.0
2025-12-01,37.333333333333336,19.444444444444443,22.91304347826087,26.0,12.0,6.0
