country,batch,anchor,anchor_column,anchor_sum,reference_anchor,reference_anchor_sum,scale_factor
AT,1,Mücke,AT::Mücke::batch_1,4864,DE::Mücke::batch_1,10370,2.1319901315789473
AT,2,Mücke,AT::Mücke::batch_2,2076,DE::Mücke::batch_1,10370,4.995183044315993
AT,3,Mücke,AT::Mücke::batch_3,5906,DE::Mücke::batch_1,10370,1.755841517101253
AT,4,Mücke,AT::Mücke::batch_4,9980,DE::Mücke::batch_1,10370,1.0390781563126252
AT,5,Mücke,AT::Mücke::batch_5,10265,DE::Mücke::batch_1,10370,1.0102289332683878
AT,6,Mücke,AT::Mücke::batch_6,3836,DE::Mücke::batch_1,10370,2.7033368091762253
AT,7,Mücke,AT::Mücke::batch_7,10265,DE::Mücke::batch_1,10370,1.0102289332683878
AT,8,Mücke,AT::Mücke::batch_8,1545,DE::Mücke::batch_1,10370,6.711974110032362
AT,9,Mücke,AT::Mücke::batch_9,6900,DE::Mücke::batch_1,10370,1.5028985507246377
CH,1,Mücke,CH::Mücke::batch_1,2357,DE::Mücke::batch_1,10370,4.39966058549003
CH,2,Mücke,CH::Mücke::batch_2,878,DE::Mücke::batch_1,10370,11.810933940774488
CH,3,Mücke,CH::Mücke::batch_3,7247,DE::Mücke::batch_1,10370,1.4309369394232097
CH,4,Mücke,CH::Mücke::batch_4,7471,DE::Mücke::batch_1,10370,1.3880337304243073
CH,5,Mücke,CH::Mücke::batch_5,7471,DE::Mücke::batch_1,10370,1.3880337304243073
CH,6,Mücke,CH::Mücke::batch_6,7471,DE::Mücke::batch_1,10370,1.3880337304243073
CH,7,Mücke,CH::Mücke::batch_7,7471,DE::Mücke::batch_1,10370,1.3880337304243073
CH,8,Mücke,CH::Mücke::batch_8,7471,DE::Mücke::batch_1,10370,1.3880337304243073
CH,9,Mücke,CH::Mücke::batch_9,878,DE::Mücke::batch_1,10370,11.810933940774488
CH,10,Mücke,CH::Mücke::batch_10,7471,DE::Mücke::batch_1,10370,1.3880337304243073
CH,11,Mücke,CH::Mücke::batch_11,7471,DE::Mücke::batch_1,10370,1.3880337304243073
CH,12,Mücke,CH::Mücke::batch_12,7471,DE::Mücke::batch_1,10370,1.3880337304243073
CH,13,Mücke,CH::Mücke::batch_13,7471,DE::Mücke::batch_1,10370,1.3880337304243073
CH,14,Mücke,CH::Mücke::batch_14,7471,DE::Mücke::batch_1,10370,1.3880337304243073
CH,15,Mücke,CH::Mücke::batch_15,7471,DE::Mücke::batch_1,10370,1.3880337304243073
CH,16,Mücke,CH::Mücke::batch_16,7471,DE::Mücke::batch_1,10370,1.3880337304243073
CH,17,Mücke,CH::Mücke::batch_17,7471,DE::Mücke::batch_1,10370,1.3880337304243073
CH,18,Mücke,CH::Mücke::batch_18,7471,DE::Mücke::batch_1,10370,1.3880337304243073
CH,19,Mücke,CH::Mücke::batch_19,7471,DE::Mücke::batch_1,10370,1.3880337304243073
CH,20,Mücke,CH::Mücke::batch_20,7471,DE::Mücke::batch_1,10370,1.3880337304243073
CH,21,Mücke,CH::Mücke::batch_21,7471,DE::Mücke::batch_1,10370,1.3880337304243073
CH,22,Mücke,CH::Mücke::batch_22,501,DE::Mücke::batch_1,10370,20.698602794411176
CH,23,Mücke,CH::Mücke::batch_23,7509,DE::Mücke::batch_1,10370,1.3810094553202823
DE,1,Mücke,DE::Mücke::batch_1,10370,DE::Mücke::batch_1,10370,1.0
DE,2,Mücke,DE::Mücke::batch_2,4953,DE::Mücke::batch_1,10370,2.0936805976176056
DE,3,Mücke,DE::Mücke::batch_3,10370,DE::Mücke::batch_1,10370,1.0
DE,4,Mücke,DE::Mücke::batch_4,10370,DE::Mücke::batch_1,10370,1.0
DE,5,Mücke,DE::Mücke::batch_5,10370,DE::Mücke::batch_1,10370,1.0
DE,6,Mücke,DE::Mücke::batch_6,10370,DE::Mücke::batch_1,10370,1.0
DE,7,Mücke,DE::Mücke::batch_7,10370,DE::Mücke::batch_1,10370,1.0
DE,8,Mücke,DE::Mücke::batch_8,3442,DE::Mücke::batch_1,10370,3.012783265543289
DE,9,Mücke,DE::Mücke::batch_9,10370,DE::Mücke::batch_1,10370,1.0
ES,1,Mosquito,ES::Mosquito::batch_1,4227,DE::Mücke::batch_1,10370,2.4532765554766973
ES,2,Mosquito,ES::Mosquito::batch_2,4227,DE::Mücke::batch_1,10370,2.4532765554766973
ES,3,Mosquito,ES::Mosquito::batch_3,4227,DE::Mücke::batch_1,10370,2.4532765554766973
ES,4,Mosquito,ES::Mosquito::batch_4,4227,DE::Mücke::batch_1,10370,2.4532765554766973
ES,5,Mosquito,ES::Mosquito::batch_5,4227,DE::Mücke::batch_1,10370,2.4532765554766973
ES,6,Mosquito,ES::Mosquito::batch_6,4227,DE::Mücke::batch_1,10370,2.4532765554766973
ES,7,Mosquito,ES::Mosquito::batch_7,4227,DE::Mücke::batch_1,10370,2.4532765554766973
FR,1,Moustique,FR::Moustique::batch_1,4299,DE::Mücke::batch_1,10370,2.4121888811351475
