topic1,topic2,similarity
13_dengue_cas_fieber_dengue fieber,2_dengue_zanzara_disinfestazione_malattia,0.936730146408081
16_moustique_moustique tigre_tigre_moustiques,17_moustique_moustique tigre_tigre_moustiques,0.9354265928268433
21_deutschland_chikungunya_dengue_tigermücke,22_dengue_europa_fälle_infektionen,0.9335176348686218
5_tigermücke_basel_tigermücken_asiatische,7_tigermücke_tigermücken_asiatische_asiatische tigermücke,0.9319902658462524
18_dengue_virus_denguefieber_aedes,2_dengue_zanzara_disinfestazione_malattia,0.9246636629104614
13_dengue_cas_fieber_dengue fieber,18_dengue_virus_denguefieber_aedes,0.9219797849655151
13_dengue_cas_fieber_dengue fieber,22_dengue_europa_fälle_infektionen,0.9206761121749878
19_mosquito_mosquito tigre_tigre_mosquito alert,9_mosquito_mosquito tigre_mosquitos_tigre,0.9113906621932983
14_österreich_tigermücke_stechmücken_asiatische,7_tigermücke_tigermücken_asiatische_asiatische tigermücke,0.905497670173645
15_especies_arten_exóticas_specie,20_hornisse_hornissen_espèces_asiatischen,0.9030701518058777
17_moustique_moustique tigre_tigre_moustiques,7_tigermücke_tigermücken_asiatische_asiatische tigermücke,0.9004441499710083
14_österreich_tigermücke_stechmücken_asiatische,20_hornisse_hornissen_espèces_asiatischen,0.8988504409790039
22_dengue_europa_fälle_infektionen,2_dengue_zanzara_disinfestazione_malattia,0.8985083699226379
18_dengue_virus_denguefieber_aedes,22_dengue_europa_fälle_infektionen,0.8979308009147644
0_mücken_mosquitos_mosquito_tigre,17_moustique_moustique tigre_tigre_moustiques,0.8967317342758179
8_acqua_aree_tigre_zanzare,9_mosquito_mosquito tigre_mosquitos_tigre,0.8962258100509644
11_männchen_moustiques_moustique_mücken,17_moustique_moustique tigre_tigre_moustiques,0.892427921295166
17_moustique_moustique tigre_tigre_moustiques,19_mosquito_mosquito tigre_tigre_mosquito alert,0.8866212368011475
14_österreich_tigermücke_stechmücken_asiatische,5_tigermücke_basel_tigermücken_asiatische,0.8823328018188477
20_hornisse_hornissen_espèces_asiatischen,7_tigermücke_tigermücken_asiatische_asiatische tigermücke,0.8773720264434814
