topic1,topic2,similarity
12_west nile_nile_west_virus,2_nile_west nile_west_virus,0.9606043696403503
5_nilo_casos_virus nilo_sevilla,9_virus_casos_mosquitos_nilo,0.948354959487915
14_moustique_tigre_moustique tigre_dengue,6_virus_mücken_dengue_menschen,0.944131076335907
6_virus_mücken_dengue_menschen,8_mosquito_enfermedades_mosquitos_specie,0.9224753379821777
2_nile_west nile_west_virus,9_virus_casos_mosquitos_nilo,0.922062337398529
2_nile_west nile_west_virus,5_nilo_casos_virus nilo_sevilla,0.9207668900489807
14_moustique_tigre_moustique tigre_dengue,8_mosquito_enfermedades_mosquitos_specie,0.9200631976127625
10_mosquitos_vigilancia_culex_andalucía,13_mosquitos_vigilancia_sevilla_vno,0.9145222306251526
6_virus_mücken_dengue_menschen,9_virus_casos_mosquitos_nilo,0.9073525071144104
10_mosquitos_vigilancia_culex_andalucía,1_mosquito_mosquitos_tigre_control,0.896626353263855
2_nile_west nile_west_virus,6_virus_mücken_dengue_menschen,0.8945286870002747
12_west nile_nile_west_virus,5_nilo_casos_virus nilo_sevilla,0.8920931816101074
0_mücken_deutschland_moustiques_stechmücken,14_moustique_tigre_moustique tigre_dengue,0.8920761346817017
12_west nile_nile_west_virus,7_cas_été_virus_homme,0.8855976462364197
14_moustique_tigre_moustique tigre_dengue,4_moustique_moustique tigre_tigre_france,0.8831052780151367
12_west nile_nile_west_virus,9_virus_casos_mosquitos_nilo,0.8804378509521484
2_nile_west nile_west_virus,7_cas_été_virus_homme,0.8785035610198975
14_moustique_tigre_moustique tigre_dengue,1_mosquito_mosquitos_tigre_control,0.8731676340103149
2_nile_west nile_west_virus,3_west nile_nile_west_virus,0.8720234036445618
12_west nile_nile_west_virus,3_west nile_nile_west_virus,0.8699989318847656
