topic1,topic2,similarity
18_dengue_masern_kinder_bangladesh,7_dengue_menschen_fieber_fälle,0.948222815990448
10_virus_em_com_dengue,15_em_ebola_com_coronavírus,0.9177295565605164
1_dengue_virus_cas_disinfestazione,7_dengue_menschen_fieber_fälle,0.9118439555168152
10_virus_em_com_dengue,4_corona_coronavirus_covid_pandemie,0.9100281596183777
11_impfstoffe_mrna_impfstoff_covid,12_molt_impfung_és_covid,0.9092137217521667
10_virus_em_com_dengue,12_molt_impfung_és_covid,0.8950467109680176
18_dengue_masern_kinder_bangladesh,1_dengue_virus_cas_disinfestazione,0.8862050175666809
10_virus_em_com_dengue,9_virus_west nile_nile_west,0.8769350051879883
12_molt_impfung_és_covid,15_em_ebola_com_coronavírus,0.8744446039199829
12_molt_impfung_és_covid,4_corona_coronavirus_covid_pandemie,0.8629543781280518
1_dengue_virus_cas_disinfestazione,9_virus_west nile_nile_west,0.8616964817047119
15_em_ebola_com_coronavírus,4_corona_coronavirus_covid_pandemie,0.8605995178222656
17_dengue_impfstoff_sanofi_fieber,1_dengue_virus_cas_disinfestazione,0.8520649671554565
10_virus_em_com_dengue,3_zika_virus_2016_virus zika,0.8497574925422668
11_impfstoffe_mrna_impfstoff_covid,4_corona_coronavirus_covid_pandemie,0.8451542854309082
0_mücken_tigre_moustique_moustiques,10_virus_em_com_dengue,0.8449304103851318
10_virus_em_com_dengue,1_dengue_virus_cas_disinfestazione,0.8412039279937744
0_mücken_tigre_moustique_moustiques,1_dengue_virus_cas_disinfestazione,0.8310827016830444
15_em_ebola_com_coronavírus,3_zika_virus_2016_virus zika,0.8278500437736511
17_dengue_impfstoff_sanofi_fieber,7_dengue_menschen_fieber_fälle,0.8219135999679565
