topic1,topic2,similarity
10_west_virus_nil_nile,13_west nil_nil_west_nil virus,0.9316909313201904
1_virus_mosquitos_nilo_salud,9_west nile_nile_febbre_virus,0.9267557859420776
10_west_virus_nil_nile,11_virus_nilo_west nile_nile,0.9013028740882874
11_virus_nilo_west nile_nile,2_virus_sars_covid_coronavirus,0.9003589153289795
6_virus_cas_dengue_moustiques,7_tigermücke_deutschland_chikungunya_dengue,0.9003021121025085
4_moustiques_mücken_mosquitos_dengue,7_tigermücke_deutschland_chikungunya_dengue,0.8964411020278931
3_mosquitos_nilo_vigilancia_salud,6_virus_cas_dengue_moustiques,0.8931628465652466
8_virus_nilo_virus nilo_provincia,9_west nile_nile_febbre_virus,0.8893623948097229
11_virus_nilo_west nile_nile,6_virus_cas_dengue_moustiques,0.8841447234153748
1_virus_mosquitos_nilo_salud,6_virus_cas_dengue_moustiques,0.8758208155632019
10_west_virus_nil_nile,9_west nile_nile_febbre_virus,0.874518096446991
13_west nil_nil_west_nil virus,15_west nil_nil_west_nil virus,0.8743031024932861
10_west_virus_nil_nile,1_virus_mosquitos_nilo_salud,0.8704301714897156
4_moustiques_mücken_mosquitos_dengue,6_virus_cas_dengue_moustiques,0.861621618270874
2_virus_sars_covid_coronavirus,7_tigermücke_deutschland_chikungunya_dengue,0.8595135807991028
2_virus_sars_covid_coronavirus,6_virus_cas_dengue_moustiques,0.8564363718032837
10_west_virus_nil_nile,6_virus_cas_dengue_moustiques,0.855929970741272
10_west_virus_nil_nile,15_west nil_nil_west_nil virus,0.8553267121315002
13_west nil_nil_west_nil virus,9_west nile_nile_febbre_virus,0.8548138737678528
11_virus_nilo_west nile_nile,9_west nile_nile_febbre_virus,0.8540498614311218
