topic1,topic2,similarity
1_zika_virus_zika virus_virus zika,5_zika_virus_oms_virus zika,0.9091061353683472
1_zika_virus_zika virus_virus zika,4_2016_zika_virus_virus zika,0.8734800219535828
2_virus_covid_coronavirus_covid 19,8_virus_impfstoff_zika_vacuna,0.871048629283905
2_virus_covid_coronavirus_covid 19,5_zika_virus_oms_virus zika,0.8535736799240112
2_virus_covid_coronavirus_covid 19,6_dengue_virus_chikungunya_cas,0.8516488075256348
5_zika_virus_oms_virus zika,8_virus_impfstoff_zika_vacuna,0.8472504019737244
1_zika_virus_zika virus_virus zika,6_dengue_virus_chikungunya_cas,0.8454011082649231
3_mosquitos_tigre_mosquito_moustique,6_dengue_virus_chikungunya_cas,0.8420374393463135
1_zika_virus_zika virus_virus zika,8_virus_impfstoff_zika_vacuna,0.8318255543708801
4_2016_zika_virus_virus zika,8_virus_impfstoff_zika_vacuna,0.8181493878364563
4_2016_zika_virus_virus zika,5_zika_virus_oms_virus zika,0.8082093596458435
1_zika_virus_zika virus_virus zika,2_virus_covid_coronavirus_covid 19,0.8007888197898865
5_zika_virus_oms_virus zika,6_dengue_virus_chikungunya_cas,0.7916919589042664
1_zika_virus_zika virus_virus zika,3_mosquitos_tigre_mosquito_moustique,0.7658984065055847
6_dengue_virus_chikungunya_cas,8_virus_impfstoff_zika_vacuna,0.750614583492279
2_virus_covid_coronavirus_covid 19,3_mosquitos_tigre_mosquito_moustique,0.7494143843650818
2_virus_covid_coronavirus_covid 19,7_cambio_climático_cambio climático_klimawandel,0.7451764345169067
3_mosquitos_tigre_mosquito_moustique,8_virus_impfstoff_zika_vacuna,0.7389717102050781
2_virus_covid_coronavirus_covid 19,4_2016_zika_virus_virus zika,0.7362533211708069
3_mosquitos_tigre_mosquito_moustique,5_zika_virus_oms_virus zika,0.7219337224960327
