topic1,topic2,similarity
12_moustique_tigre_tigermücke_moustique tigre,1_mücken_moustiques_peces_juckreiz,0.8319298624992371
11_vigilancia_nilo_mosquitos_virus,12_moustique_tigre_tigermücke_moustique tigre,0.8288004398345947
11_vigilancia_nilo_mosquitos_virus,2_cas_chikungunya_dengue_virus,0.8228674530982971
2_cas_chikungunya_dengue_virus,3_virus_west_casos_nilo,0.8200991749763489
12_moustique_tigre_tigermücke_moustique tigre,2_cas_chikungunya_dengue_virus,0.814219057559967
11_vigilancia_nilo_mosquitos_virus,3_virus_west_casos_nilo,0.8059899210929871
1_mücken_moustiques_peces_juckreiz,6_malaria_anopheles_mücken_menschen,0.776534914970398
3_virus_west_casos_nilo,6_malaria_anopheles_mücken_menschen,0.776011049747467
0_mücke_euro_zanzara_qu,7_25_set_punti_guirassy,0.7665485143661499
2_cas_chikungunya_dengue_virus,6_malaria_anopheles_mücken_menschen,0.7609111666679382
11_vigilancia_nilo_mosquitos_virus,8_lengua_lengua azul_azul_enfermedad,0.755059540271759
1_mücken_moustiques_peces_juckreiz,9_antarktis_insekt_larven_ámbar,0.7542319893836975
5_euros_millones_cambio_climático,8_lengua_lengua azul_azul_enfermedad,0.7536084651947021
4_dembélé_psg_lamine_balón,7_25_set_punti_guirassy,0.7518757581710815
11_vigilancia_nilo_mosquitos_virus,6_malaria_anopheles_mücken_menschen,0.7341984510421753
3_virus_west_casos_nilo,8_lengua_lengua azul_azul_enfermedad,0.7336658239364624
12_moustique_tigre_tigermücke_moustique tigre,6_malaria_anopheles_mücken_menschen,0.7307263016700745
2_cas_chikungunya_dengue_virus,8_lengua_lengua azul_azul_enfermedad,0.7232849597930908
12_moustique_tigre_tigermücke_moustique tigre,8_lengua_lengua azul_azul_enfermedad,0.7154436707496643
0_mücke_euro_zanzara_qu,5_euros_millones_cambio_climático,0.711920976638794
