subtype,n_components,min_cluster_size,n_neighbors,n_topics,noise_pct,largest_topic_pct,good,okay
Aedes,5,10,10,114,20.177383592017737,2.6290782388343366,False,False
Aedes,5,10,15,103,18.403547671840354,2.9775102945834653,False,False
Aedes,5,10,20,114,25.118783655369022,2.9141590117199874,False,False
Aedes,5,20,10,48,24.802027241051633,8.457396262274312,False,False
Aedes,5,20,15,47,21.222679759265127,8.394044979410832,False,False
Aedes,5,20,20,38,21.951219512195124,8.552423186569529,False,False
Aedes,5,30,10,30,20.7158694963573,11.65663604687995,False,False
Aedes,5,30,15,26,20.240734874881216,13.272093759898638,False,False
Aedes,5,30,20,23,23.28159645232816,13.272093759898638,False,False
Aedes,5,50,10,18,26.544187519797276,12.89198606271777,False,False
Aedes,5,50,15,2,4.339562876148242,87.26639214444093,False,False
Aedes,5,50,20,2,4.022806461830852,87.58314855875831,False,False
Aedes,10,10,10,109,21.571111815014255,2.5023756731073803,False,False
Aedes,10,10,15,95,20.240734874881216,8.394044979410832,False,False
Aedes,10,10,20,108,21.286031042128602,4.40291415901172,False,False
Aedes,10,20,10,48,22.0145707950586,8.457396262274312,False,False
Aedes,10,20,15,39,21.507760532150776,13.367120684193855,False,False
Aedes,10,20,20,39,26.005701615457713,10.136205258156478,False,False
Aedes,10,30,10,27,16.788089958821665,11.30820399113082,False,False
Aedes,10,30,15,22,22.458029775102947,13.367120684193855,False,False
Aedes,10,30,20,23,25.087108013937282,12.828634779854292,False,False
Aedes,10,50,10,2,4.371238517579981,87.1713652201457,False,False
Aedes,10,50,15,13,26.607538802660756,13.367120684193855,False,False
Aedes,10,50,20,13,27.177700348432055,13.113715552739944,False,False
Aedes,15,10,10,115,24.48527082673424,2.9775102945834653,False,False
Aedes,15,10,15,97,19.068736141906875,8.425720620842572,False,False
Aedes,15,10,20,95,21.286031042128602,8.394044979410832,False,False
Aedes,15,20,10,39,22.679759265125117,10.231232182451695,False,False
Aedes,15,20,15,43,26.607538802660756,8.425720620842572,False,False
Aedes,15,20,20,41,20.81089642065252,13.335445042762116,False,False
Aedes,15,30,10,24,22.141273360785554,10.231232182451695,False,False
Aedes,15,30,15,27,23.02819132087425,10.04117833386126,False,False
Aedes,15,30,20,23,22.553056699398162,13.335445042762116,False,False
Aedes,15,50,10,2,4.339562876148242,87.20304086157745,False,False
Aedes,15,50,15,2,4.307887234716503,87.26639214444093,False,False
Aedes,15,50,20,2,4.40291415901172,87.20304086157745,False,False
Chikungunya,5,10,10,95,18.429906542056074,3.7383177570093458,False,False
Chikungunya,5,10,15,95,17.906542056074766,3.3271028037383177,False,False
Chikungunya,5,10,20,84,18.69158878504673,3.588785046728972,False,False
Chikungunya,5,20,10,41,16.635514018691588,10.841121495327103,False,False
Chikungunya,5,20,15,43,15.813084112149532,13.495327102803738,False,False
Chikungunya,5,20,20,38,17.1588785046729,12.97196261682243,False,False
Chikungunya,5,30,10,32,18.130841121495326,12.261682242990654,False,False
Chikungunya,5,30,15,32,18.542056074766354,13.495327102803738,False,False
Chikungunya,5,30,20,26,19.401869158878505,12.97196261682243,False,False
Chikungunya,5,50,10,12,20.037383177570092,25.08411214953271,True,True
Chikungunya,5,50,15,13,15.850467289719626,19.77570093457944,True,True
Chikungunya,5,50,20,16,25.53271028037383,12.97196261682243,False,False
Chikungunya,10,10,10,98,16.523364485981308,3.364485981308411,False,False
Chikungunya,10,10,15,94,20.149532710280372,3.850467289719626,False,False
Chikungunya,10,10,20,92,20.97196261682243,3.102803738317757,False,False
Chikungunya,10,20,10,39,18.018691588785046,12.822429906542055,False,False
Chikungunya,10,20,15,40,17.49532710280374,13.495327102803738,False,False
Chikungunya,10,20,20,36,20.149532710280372,12.934579439252337,False,False
Chikungunya,10,30,10,33,18.093457943925234,12.822429906542055,False,False
Chikungunya,10,30,15,28,15.925233644859814,13.495327102803738,False,False
Chikungunya,10,30,20,27,20.33644859813084,12.934579439252337,False,False
Chikungunya,10,50,10,13,18.317757009345794,24.85981308411215,True,True
Chikungunya,10,50,15,17,23.850467289719628,13.495327102803738,True,True
Chikungunya,10,50,20,15,22.242990654205606,12.934579439252337,True,True
Chikungunya,15,10,10,90,16.411214953271028,3.6261682242990654,False,False
Chikungunya,15,10,15,90,18.39252336448598,3.7383177570093458,False,False
Chikungunya,15,10,20,85,17.046728971962615,3.663551401869159,False,False
Chikungunya,15,20,10,48,20.485981308411215,3.7383177570093458,False,False
Chikungunya,15,20,15,41,16.037383177570092,12.598130841121495,False,False
Chikungunya,15,20,20,39,19.588785046728972,12.672897196261681,False,False
Chikungunya,15,30,10,34,19.065420560747665,12.261682242990654,False,False
Chikungunya,15,30,15,30,15.738317757009346,12.598130841121495,False,False
Chikungunya,15,30,20,28,20.373831775700936,12.672897196261681,False,False
Chikungunya,15,50,10,11,17.345794392523363,26.654205607476637,True,True
Chikungunya,15,50,15,15,24.97196261682243,12.598130841121495,True,True
Chikungunya,15,50,20,6,8.149532710280374,59.47663551401869,True,True
Culex,5,10,10,91,16.61113755354593,2.379819133745835,False,False
Culex,5,10,15,82,18.086625416468348,2.5226082817705855,False,False
Culex,5,10,20,83,22.13231794383627,2.570204664445502,False,False
Culex,5,20,10,38,31.889576392194193,3.9504997620180866,False,False
Culex,5,20,15,36,32.50832936696811,4.950023798191338,False,False
Culex,5,20,20,33,38.60066634935745,4.902427415516421,False,False
Culex,5,30,10,7,13.13660161827701,75.48786292241789,False,True
Culex,5,30,15,19,35.26891956211328,15.75440266539743,False,False
Culex,5,30,20,20,37.696335078534034,11.756306520704426,False,False
Culex,5,50,10,2,19.895287958115183,77.43931461208948,False,False
Culex,5,50,15,7,30.985245121370777,24.654926225606854,False,False
Culex,5,50,20,6,37.22037125178486,24.940504521656354,False,False
Culex,10,10,10,83,18.705378391242267,2.570204664445502,False,False
Culex,10,10,15,89,19.133745835316518,2.570204664445502,False,False
Culex,10,10,20,81,18.89576392194193,3.3317467872441693,False,False
Culex,10,20,10,28,35.69728700618753,11.232746311280343,False,False
Culex,10,20,15,38,34.79295573536411,5.949547834364588,False,False
Culex,10,20,20,30,33.698238933841026,11.042360780580676,False,False
Culex,10,30,10,15,35.221323179438365,17.515468824369346,False,False
Culex,10,30,15,18,31.984769157544026,15.32603522132318,False,False
Culex,10,30,20,12,27.60590195145169,25.27367920038077,False,False
Culex,10,50,10,2,17.705854355069015,79.67634459781057,False,False
Culex,10,50,15,3,13.184198000951927,81.00904331270823,False,False
Culex,10,50,20,7,27.701094716801524,25.27367920038077,False,False
Culex,15,10,10,88,17.18229414564493,2.9985721085197525,False,False
Culex,15,10,15,87,16.46834840552118,3.8553069966682534,False,False
Culex,15,10,20,72,15.564017134697764,7.091861018562589,False,False
Culex,15,20,10,35,34.12660637791528,5.092812946216087,False,False
Culex,15,20,15,35,33.46025702046644,7.900999524036173,False,False
Culex,15,20,20,33,32.55592574964303,7.091861018562589,False,False
Culex,15,30,10,5,16.230366492146597,75.91623036649214,False,True
Culex,15,30,15,2,6.235126130414089,92.09900047596382,False,False
Culex,15,30,20,20,37.3155640171347,7.091861018562589,False,False
Culex,15,50,10,5,37.0299857210852,23.940980485483102,False,False
Culex,15,50,15,2,16.94431223227035,78.43883864826273,False,False
Culex,15,50,20,2,4.712041884816754,92.67015706806282,False,False
Dengue,5,10,10,124,18.699450016175994,2.296991264962795,False,False
Dengue,5,10,15,111,20.41410546748625,3.7851827887415075,False,False
Dengue,5,10,20,107,21.09349725008088,3.2675509543836947,False,False
Dengue,5,20,10,42,21.90229699126496,11.193788417987706,False,False
Dengue,5,20,15,36,23.16402458751213,11.355548366224523,False,False
Dengue,5,20,20,44,21.57877709479133,6.438045939825299,False,False
Dengue,5,30,10,25,26.690391459074732,11.193788417987706,False,False
Dengue,5,30,15,25,28.857974765448073,11.355548366224523,False,False
Dengue,5,30,20,27,24.91103202846975,11.711420252345519,False,False
Dengue,5,50,10,12,20.155289550307344,29.86088644451634,True,True
Dengue,5,50,15,18,28.21093497250081,11.355548366224523,False,False
Dengue,5,50,20,16,24.00517631834358,12.520219993529603,True,True
Dengue,10,10,10,122,19.281785829828536,2.8793270786153347,False,False
Dengue,10,10,15,106,22.419928825622776,6.502749919120026,False,False
Dengue,10,10,20,104,21.028793270786153,4.561630540278227,False,False
Dengue,10,20,10,44,21.19055321902297,11.387900355871887,False,False
Dengue,10,20,15,38,22.96991264962795,11.80847622128761,False,False
Dengue,10,20,20,41,24.91103202846975,6.438045939825299,False,False
Dengue,10,30,10,25,26.108055645422194,11.387900355871887,False,False
Dengue,10,30,15,24,31.219670009705595,12.714331931413781,False,False
Dengue,10,30,20,23,26.334519572953738,12.423164024587512,False,False
Dengue,10,50,10,19,23.4551924943384,12.617275962471693,True,True
Dengue,10,50,15,16,26.43157554189583,12.714331931413781,False,False
Dengue,10,50,20,11,23.034616628922677,17.534778388870915,True,True
Dengue,15,10,10,120,16.661274668392107,3.3646069233257845,False,False
Dengue,15,10,15,110,20.090585571012618,3.5587188612099645,False,False
Dengue,15,10,20,104,21.708185053380785,5.985118084762213,False,False
Dengue,15,20,10,48,25.16984794564866,7.732125525719832,False,False
Dengue,15,20,15,45,23.228728566806858,6.858621805241023,False,False
