topic1,topic2,similarity
3_tigre_mosquito_mosquito tigre_moustique,5_mosquito_tigre_moustiques_mosquito tigre,0.9104663133621216
14_nile_west nile_west_virus,16_oropouche_virus_oropouche fieber_fieber,0.901339054107666
2_virus_enfermedades_em_oms,9_prof_krankheiten_deutschland_schweiz,0.8757834434509277
11_vaccin_chikungunya_vaccination_impfung,12_virus_murciélagos_vacuna_covid,0.8609144687652588
16_oropouche_virus_oropouche fieber_fieber,9_prof_krankheiten_deutschland_schweiz,0.8594019412994385
16_oropouche_virus_oropouche fieber_fieber,2_virus_enfermedades_em_oms,0.8576746582984924
0_chikungunya_virus_cas_disinfestazione,16_oropouche_virus_oropouche fieber_fieber,0.8557941913604736
3_tigre_mosquito_mosquito tigre_moustique,6_tigermücke_asiatische_asiatische tigermücke_deutschland,0.8509050607681274
16_oropouche_virus_oropouche fieber_fieber,4_dengue_cas_virus_chikungunya,0.8504713177680969
0_chikungunya_virus_cas_disinfestazione,4_dengue_cas_virus_chikungunya,0.8482178449630737
3_tigre_mosquito_mosquito tigre_moustique,9_prof_krankheiten_deutschland_schweiz,0.8437068462371826
16_oropouche_virus_oropouche fieber_fieber,1_zika_2016_virus_virus zika,0.8375033140182495
14_nile_west nile_west_virus,2_virus_enfermedades_em_oms,0.8348184823989868
7_puedes_tigre_mücken_zanzare,9_prof_krankheiten_deutschland_schweiz,0.8313605785369873
1_zika_2016_virus_virus zika,2_virus_enfermedades_em_oms,0.8275091648101807
6_tigermücke_asiatische_asiatische tigermücke_deutschland,9_prof_krankheiten_deutschland_schweiz,0.826775074005127
0_chikungunya_virus_cas_disinfestazione,14_nile_west nile_west_virus,0.825764536857605
5_mosquito_tigre_moustiques_mosquito tigre,7_puedes_tigre_mücken_zanzare,0.825609028339386
5_mosquito_tigre_moustiques_mosquito tigre,9_prof_krankheiten_deutschland_schweiz,0.8213510513305664
4_dengue_cas_virus_chikungunya,5_mosquito_tigre_moustiques_mosquito tigre,0.8193396329879761
