topic1,topic2,similarity
12_west nil_nil virus_nil_west,18_west nil_nil_west_nil virus,0.9230232834815979
10_usutu virus_usutu_virus_hamburg,11_virus_menschen_usutu_usutu virus,0.8928878307342529
19_mosquitos_sintomi_virus_enfermedades,8_zanzare_oristano_nilo_acqua,0.8891298770904541
17_alpes_maladie_krank_virus,1_nabu_amseln_usutu_vögel,0.8841900825500488
19_mosquitos_sintomi_virus_enfermedades,4_enfermedad_virus_arbovirus_enfermedades,0.8834167122840881
14_fiebre_fiebre nilo_mosquitos_nilo,4_enfermedad_virus_arbovirus_enfermedades,0.8707643747329712
10_usutu virus_usutu_virus_hamburg,1_nabu_amseln_usutu_vögel,0.8707231283187866
18_west nil_nil_west_nil virus,3_west nile_nile_west_virus,0.8619204759597778
11_virus_menschen_usutu_usutu virus,1_nabu_amseln_usutu_vögel,0.8529701232910156
11_virus_menschen_usutu_usutu virus,18_west nil_nil_west_nil virus,0.8526632785797119
11_virus_menschen_usutu_usutu virus,17_alpes_maladie_krank_virus,0.8501362800598145
17_alpes_maladie_krank_virus,19_mosquitos_sintomi_virus_enfermedades,0.8397773504257202
17_alpes_maladie_krank_virus,4_enfermedad_virus_arbovirus_enfermedades,0.835845947265625
3_west nile_nile_west_virus,8_zanzare_oristano_nilo_acqua,0.8351049423217773
18_west nil_nil_west_nil virus,1_nabu_amseln_usutu_vögel,0.8310996890068054
17_alpes_maladie_krank_virus,3_west nile_nile_west_virus,0.828804075717926
5_moustique_virus_été_moustiques,8_zanzare_oristano_nilo_acqua,0.8285230398178101
19_mosquitos_sintomi_virus_enfermedades,3_west nile_nile_west_virus,0.8224409222602844
11_virus_menschen_usutu_usutu virus,12_west nil_nil virus_nil_west,0.8220995664596558
19_mosquitos_sintomi_virus_enfermedades,5_moustique_virus_été_moustiques,0.8187549114227295
