subtype,country,topic_name,n_docs,country_total,percent_of_country
Aedes,Austria,Tiger mosquito spread and disease risk,88,304,28.94736842105263
Aedes,Austria,Regional tiger mosquito surveillance and control,63,304,20.723684210526315
Aedes,Austria, Zika virus public health alerts,23,304,7.565789473684211
Aedes,Austria,Chikungunya risk in Europe,20,304,6.578947368421052
Aedes,Austria,Climate change and health risks,20,304,6.578947368421052
Aedes,Austria,Dengue surveillance and response,18,304,5.921052631578948
Aedes,Austria,Invasive species and public health impacts,16,304,5.2631578947368425
Aedes,Austria,Aedes arbovirus risk in Europe,14,304,4.605263157894737
Aedes,Austria,Broad infectious disease risks ,12,304,3.9473684210526314
Aedes,Austria,Chikungunya vaccine,11,304,3.6184210526315788
Aedes,Austria,Tropical diseases reaching Europe,8,304,2.6315789473684212
Aedes,Austria, Innovative mosquito suppression,7,304,2.3026315789473686
Aedes,Austria,Local mosquito-control activities,3,304,0.9868421052631579
Aedes,Austria,Citizen-based tiger mosquito prevention,1,304,0.32894736842105265
Aedes,France,Tiger mosquito spread and disease risk,96,404,23.762376237623762
Aedes,France,Dengue surveillance and response,72,404,17.821782178217823
Aedes,France,Chikungunya risk in Europe,55,404,13.613861386138614
Aedes,France,Citizen-based tiger mosquito prevention,42,404,10.396039603960396
Aedes,France, Zika virus public health alerts,34,404,8.415841584158416
Aedes,France,Local mosquito-control activities,27,404,6.683168316831683
Aedes,France, Innovative mosquito suppression,18,404,4.455445544554456
Aedes,France,Invasive species and public health impacts,14,404,3.4653465346534653
Aedes,France,Broad infectious disease risks ,13,404,3.217821782178218
Aedes,France,Climate change and health risks,11,404,2.722772277227723
Aedes,France,Chikungunya vaccine,9,404,2.227722772277228
Aedes,France,Tropical diseases reaching Europe,6,404,1.4851485148514851
Aedes,France,Citizen reporting of tiger mosquitoes,3,404,0.7425742574257426
Aedes,France,Aedes arbovirus risk in Europe,2,404,0.49504950495049505
Aedes,France,Mosquito nuisance and bite prevention,1,404,0.24752475247524752
Aedes,France,Regional tiger mosquito surveillance and control,1,404,0.24752475247524752
Aedes,Germany,Tiger mosquito spread and disease risk,98,293,33.44709897610922
Aedes,Germany,Mosquito nuisance and bite prevention,32,293,10.921501706484642
Aedes,Germany, Zika virus public health alerts,27,293,9.215017064846416
Aedes,Germany,Regional tiger mosquito surveillance and control,27,293,9.215017064846416
Aedes,Germany,Dengue surveillance and response,24,293,8.19112627986348
Aedes,Germany,Climate change and health risks,22,293,7.508532423208191
Aedes,Germany,Chikungunya risk in Europe,17,293,5.802047781569966
