,Germany,Germany,Germany,Austria,Austria,Austria,Switzerland,Switzerland,Switzerland,Italy,Italy,Italy,Spain,Spain,Spain,France,France,France
,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio
date,,,,,,,,,,,,,,,,,,
2010-01-01,10,0,0.0,9.0,0.0,0.0,,,,3.0,0.0,0.0,1,0,0.0,80,0,0.0
2010-01-02,19,0,0.0,3.0,0.0,0.0,,,,,,,3,0,0.0,46,0,0.0
2010-01-03,10,0,0.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,3,0,0.0,44,0,0.0
2010-01-04,24,0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,126.0,0.0,0.0,7,0,0.0,110,0,0.0
2010-01-05,29,0,0.0,2.0,0.0,0.0,35.0,0.0,0.0,1.0,0.0,0.0,6,0,0.0,108,0,0.0
2010-01-06,24,0,0.0,,,,,,,3.0,0.0,0.0,4,0,0.0,77,0,0.0
2010-01-07,30,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,10,0,0.0,73,0,0.0
2010-01-08,16,0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,,,,11,0,0.0,78,0,0.0
2010-01-09,10,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,6,0,0.0,46,0,0.0
2010-01-10,9,0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,6,0,0.0,53,0,0.0
2010-01-11,26,0,0.0,4.0,0.0,0.0,,,,2.0,0.0,0.0,12,0,0.0,80,0,0.0
2010-01-12,19,0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,,,,6,0,0.0,67,0,0.0
2010-01-13,26,0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,,,,15,0,0.0,91,0,0.0
2010-01-14,23,0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9,0,0.0,79,0,0.0
2010-01-15,17,0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,5,0,0.0,80,0,0.0
2010-01-16,17,1,0.058823529411764705,3.0,0.0,0.0,,,,3.0,0.0,0.0,3,0,0.0,44,0,0.0
2010-01-17,15,0,0.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,5,0,0.0,46,0,0.0
2010-01-18,32,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,9,0,0.0,80,0,0.0
2010-01-19,23,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,,,8,0,0.0,71,0,0.0
2010-01-20,30,0,0.0,2.0,0.0,0.0,,,,2.0,0.0,0.0,11,0,0.0,83,0,0.0
2010-01-21,26,0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,,,,10,0,0.0,77,0,0.0
