,Germany,Germany,Germany,Austria,Austria,Austria,Switzerland,Switzerland,Switzerland,Italy,Italy,Italy,Spain,Spain,Spain,France,France,France
,total_count,count,percentage,total_count,count,percentage,total_count,count,percentage,total_count,count,percentage,total_count,count,percentage,total_count,count,percentage
date,,,,,,,,,,,,,,,,,,
2010-01-01,631,1,0.1584786053882725,74.0,0.0,0.0,64.0,0.0,0.0,154.0,0.0,0.0,216,0,0.0,2182,1,0.0458295142071494
2010-02-01,624,0,0.0,62.0,0.0,0.0,16.0,0.0,0.0,39.0,0.0,0.0,270,1,0.3703703703703704,1980,1,0.0505050505050505
2010-03-01,615,0,0.0,74.0,0.0,0.0,27.0,0.0,0.0,46.0,0.0,0.0,264,0,0.0,2705,1,0.0369685767097966
2010-04-01,959,0,0.0,80.0,0.0,0.0,26.0,0.0,0.0,35.0,0.0,0.0,577,0,0.0,2215,1,0.0451467268623024
2010-05-01,1415,0,0.0,39.0,0.0,0.0,73.0,0.0,0.0,117.0,0.0,0.0,1263,2,0.1583531274742676,2309,5,0.21654395842356
2010-06-01,3294,0,0.0,60.0,0.0,0.0,104.0,0.0,0.0,282.0,0.0,0.0,1347,1,0.0742390497401633,2434,1,0.0410846343467543
2010-07-01,4437,1,0.0225377507324769,47.0,0.0,0.0,30.0,0.0,0.0,198.0,0.0,0.0,1253,0,0.0,2120,2,0.0943396226415094
2010-08-01,4526,1,0.0220945647370746,42.0,0.0,0.0,479.0,0.0,0.0,154.0,0.0,0.0,1170,1,0.0854700854700854,916,3,0.3275109170305676
2010-09-01,4968,0,0.0,56.0,0.0,0.0,34.0,0.0,0.0,82.0,0.0,0.0,1265,2,0.1581027667984189,2117,5,0.2361832782239017
2010-10-01,4783,0,0.0,52.0,0.0,0.0,44.0,0.0,0.0,97.0,1.0,1.0309278350515465,1322,2,0.151285930408472,2343,2,0.0853606487409304
2010-11-01,4694,2,0.0426075841499786,59.0,0.0,0.0,34.0,0.0,0.0,211.0,0.0,0.0,1426,3,0.2103786816269284,2355,1,0.0424628450106157
2010-12-01,2628,0,0.0,77.0,0.0,0.0,53.0,0.0,0.0,86.0,0.0,0.0,1282,1,0.078003120124805,2509,0,0.0
2011-01-01,1343,0,0.0,82.0,0.0,0.0,39.0,0.0,0.0,118.0,0.0,0.0,1288,1,0.077639751552795,2736,1,0.0365497076023391
2011-02-01,1439,0,0.0,60.0,0.0,0.0,39.0,0.0,0.0,99.0,0.0,0.0,1294,1,0.0772797527047913,2694,1,0.0371195248700816
2011-03-01,1532,0,0.0,109.0,0.0,0.0,68.0,0.0,0.0,156.0,0.0,0.0,1659,0,0.0,3121,2,0.0640820249919897
2011-04-01,1344,1,0.0744047619047619,77.0,0.0,0.0,52.0,0.0,0.0,110.0,0.0,0.0,1523,1,0.0656598818122127,2932,0,0.0
2011-05-01,1443,1,0.0693000693000693,54.0,0.0,0.0,50.0,0.0,0.0,115.0,0.0,0.0,1977,0,0.0,3589,1,0.0278629144608526
2011-06-01,1439,0,0.0,121.0,0.0,0.0,53.0,0.0,0.0,122.0,0.0,0.0,1624,1,0.0615763546798029,4038,3,0.0742942050520059
2011-07-01,1498,2,0.1335113484646194,71.0,0.0,0.0,356.0,0.0,0.0,96.0,2.0,2.083333333333333,1602,0,0.0,3145,0,0.0
2011-08-01,1441,0,0.0,53.0,0.0,0.0,36.0,0.0,0.0,158.0,0.0,0.0,1687,0,0.0,1642,3,0.1827040194884287
2011-09-01,1529,1,0.0654022236756049,66.0,0.0,0.0,47.0,0.0,0.0,181.0,1.0,0.5524861878453038,1867,0,0.0,3392,1,0.0294811320754717
2011-10-01,1522,0,0.0,53.0,0.0,0.0,91.0,0.0,0.0,170.0,0.0,0.0,1939,0,0.0,3533,0,0.0
2011-11-01,1624,0,0.0,61.0,0.0,0.0,90.0,0.0,0.0,194.0,0.0,0.0,1970,2,0.1015228426395939,3813,3,0.0786782061369
2011-12-01,4376,2,0.0457038391224862,104.0,0.0,0.0,85.0,0.0,0.0,189.0,0.0,0.0,2383,2,0.0839278220730172,3798,0,0.0
2012-01-01,4745,0,0.0,82.0,0.0,0.0,115.0,0.0,0.0,195.0,0.0,0.0,2327,0,0.0,3820,0,0.0
2012-02-01,4863,1,0.0205634382068681,121.0,0.0,0.0,195.0,0.0,0.0,215.0,0.0,0.0,2059,1,0.0485672656629431,3679,4,0.1087251970644196
2012-03-01,5275,1,0.0189573459715639,100.0,0.0,0.0,68.0,0.0,0.0,244.0,1.0,0.4098360655737705,2826,1,0.035385704175513,4214,0,0.0
2012-04-01,5705,0,0.0,76.0,0.0,0.0,79.0,0.0,0.0,332.0,1.0,0.3012048192771084,2892,0,0.0,4159,6,0.1442654484251022
2012-05-01,5494,0,0.0,62.0,0.0,0.0,172.0,0.0,0.0,187.0,2.0,1.06951871657754,3545,0,0.0,4007,0,0.0
2012-06-01,5008,1,0.0199680511182108,81.0,0.0,0.0,108.0,0.0,0.0,273.0,0.0,0.0,3109,0,0.0,4174,5,0.1197891710589362
2012-07-01,5356,2,0.0373412994772218,78.0,0.0,0.0,108.0,0.0,0.0,230.0,0.0,0.0,2799,1,0.0357270453733476,3603,4,0.1110185956147654
2012-08-01,5982,4,0.0668672684720829,80.0,0.0,0.0,111.0,0.0,0.0,312.0,1.0,0.3205128205128205,2876,3,0.1043115438108484,3518,3,0.0852757248436611
2012-09-01,9440,1,0.010593220338983,63.0,0.0,0.0,434.0,0.0,0.0,414.0,1.0,0.2415458937198067,74978,19,0.0253407666248766,3998,2,0.0500250125062531
2012-10-01,12696,0,0.0,103.0,0.0,0.0,151.0,0.0,0.0,504.0,0.0,0.0,4610,1,0.0216919739696312,4788,1,0.0208855472013366
2012-11-01,9242,7,0.0757411815624323,90.0,0.0,0.0,322.0,0.0,0.0,704.0,1.0,0.1420454545454545,3904,3,0.0768442622950819,4421,0,0.0
2012-12-01,10159,1,0.0098434885323358,90.0,1.0,1.1111111111111112,143.0,0.0,0.0,374.0,2.0,0.53475935828877,3627,0,0.0,4128,1,0.0242248062015503
2013-01-01,12891,2,0.015514700178419,130.0,0.0,0.0,248.0,0.0,0.0,658.0,0.0,0.0,4410,1,0.0226757369614512,5201,0,0.0
2013-02-01,21636,5,0.023109632094657,491.0,0.0,0.0,289.0,0.0,0.0,974.0,1.0,0.1026694045174538,6746,1,0.0148235991698784,6709,3,0.0447160530630496
2013-03-01,60226,21,0.0348686613754856,10826.0,1.0,0.0092370219841123,21680.0,5.0,0.0230627306273062,27159.0,132.0,0.4860267314702308,86751,9,0.0103745201784417,64840,11,0.0169648365206662
2013-04-01,140103,55,0.0392568324732518,31476.0,2.0,0.0063540475282755,46943.0,1.0,0.0021302430607332,56713.0,73.0,0.1287182832860191,182451,23,0.0126061243840812,146744,36,0.02453251921714
2013-05-01,123242,80,0.0649129355252268,28924.0,5.0,0.0172866823399253,43609.0,8.0,0.0183448370749157,55276.0,75.0,0.1356827556263116,182222,94,0.051585428762718,126124,48,0.0380577844026513
2013-06-01,145117,72,0.0496151381299227,33617.0,2.0,0.0059493708540321,44617.0,0.0,0.0,58253.0,52.0,0.0892657888864092,190162,42,0.0220864315688728,129069,36,0.0278920577365595
2013-07-01,152697,87,0.0569755790879977,37457.0,2.0,0.0053394559094428,48110.0,9.0,0.0187071294949075,63588.0,43.0,0.0676228219160847,191885,195,0.1016233681632227,136719,66,0.0482741974414675
2013-08-01,146498,66,0.0450518095810181,34533.0,3.0,0.0086873425419164,44706.0,1.0,0.002236836218852,53721.0,52.0,0.096796411086912,177914,108,0.0607034859538878,116154,81,0.0697350069735007
2013-09-01,138501,51,0.0368228388242684,28900.0,1.0,0.0034602076124567,40848.0,3.0,0.0073443008225616,56801.0,95.0,0.1672505765743561,178422,60,0.033628140027575,130469,24,0.0183951743326
2013-10-01,139707,58,0.0415154573500254,30906.0,9.0,0.029120559114735,38054.0,6.0,0.0157670678509486,61328.0,56.0,0.0913122880250456,184735,67,0.0362681679162042,127598,34,0.0266461856768914
2013-11-01,131519,72,0.054744941795482,24224.0,8.0,0.0330250990752972,27140.0,23.0,0.0847457627118644,54536.0,30.0,0.0550095349860642,143544,47,0.0327425737056233,89435,19,0.0212444792307262
2013-12-01,54745,5,0.0091332541784637,8811.0,0.0,0.0,9765.0,1.0,0.0102406554019457,21451.0,8.0,0.0372942986340963,72299,8,0.0110651599607186,38232,15,0.0392341494036409
2014-01-01,172802,60,0.0347218203493015,38838.0,8.0,0.0205983830269323,44912.0,14.0,0.0311720698254364,67310.0,23.0,0.0341702570197593,200790,57,0.0283878679217092,137575,28,0.0203525349809194
2014-02-01,155206,50,0.0322152494104609,36834.0,6.0,0.0162892979312591,43666.0,5.0,0.0114505564970457,63874.0,48.0,0.0751479475216833,169976,59,0.0347107826987339,129654,32,0.0246810742437564
