,Germany,Germany,Germany,Germany,Germany,Germany,Austria,Austria,Austria,Austria,Austria,Austria,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Italy,Italy,Italy,Italy,Italy,Italy,Spain,Spain,Spain,Spain,Spain,Spain,France,France,France,France,France,France
,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size
0,mücke,300,0.3,298,0.298,1000,zika,61,0.0643,61,0.0643,948,tigermücke,96,0.096,95,0.095,1000,zanzara,462,0.462,461,0.461,1000,mosquito,741,0.741,728,0.728,1000,moustique,648,0.648,646,0.646,1000
1,kuh,33,0.033,33,0.033,1000,malaria,43,0.0454,43,0.0454,948,zika,84,0.084,78,0.078,1000,tigre,164,0.164,164,0.164,1000,tigre,520,0.52,517,0.517,1000,tigre,581,0.581,581,0.581,1000
2,spvgg,29,0.029,29,0.029,1000,virus,42,0.0443,42,0.0443,948,mücke,68,0.068,68,0.068,1000,dengue,135,0.135,134,0.134,1000,españa,216,0.216,216,0.216,1000,france,115,0.115,113,0.113,1000
3,zieht,24,0.024,24,0.024,1000,mücke,37,0.039,37,0.039,948,mücken,58,0.058,58,0.058,1000,zanzare,122,0.122,121,0.121,1000,mosquitos,192,0.192,190,0.19,1000,santé,107,0.107,105,0.105,1000
4,schlachter,23,0.023,23,0.023,1000,tatort,29,0.0306,29,0.0306,948,virus,57,0.057,57,0.057,1000,virus,75,0.075,74,0.074,1000,virus,100,0.1,100,0.1,1000,moustiques,101,0.101,99,0.099,1000
5,flieht,21,0.021,21,0.021,1000,auer,22,0.0232,22,0.0232,948,tigermücken,55,0.055,51,0.051,1000,italia,71,0.071,71,0.071,1000,dengue,82,0.082,82,0.082,1000,dengue,83,0.083,83,0.083,1000
6,findet,18,0.018,18,0.018,1000,who,22,0.0232,22,0.0232,948,malaria,51,0.051,50,0.05,1000,coreana,65,0.065,65,0.065,1000,enfermedades,72,0.072,72,0.072,1000,cas,61,0.061,61,0.061,1000
7,schafherde,16,0.016,16,0.016,1000,gelsen,17,0.0179,17,0.0179,948,zürich,44,0.044,44,0.044,1000,zika,62,0.062,62,0.062,1000,pica,65,0.065,65,0.065,1000,départements,60,0.06,60,0.06,1000
8,friedrich,16,0.016,16,0.016,1000,mücken,16,0.0169,15,0.0158,948,schweiz,38,0.038,38,0.038,1000,freddo,48,0.048,48,0.048,1000,transmisor,50,0.05,50,0.05,1000,rouge,48,0.048,48,0.048,1000
