,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France
,Aedes,Aedes,Aedes,Chikungunya,Chikungunya,Chikungunya,Culex,Culex,Culex,Dengue,Dengue,Dengue,Usutu,Usutu,Usutu,West Nile,West Nile,West Nile,Zika,Zika,Zika,Aedes,Aedes,Aedes,Chikungunya,Chikungunya,Chikungunya,Culex,Culex,Culex,Dengue,Dengue,Dengue,Usutu,Usutu,Usutu,West Nile,West Nile,West Nile,Zika,Zika,Zika,Aedes,Aedes,Aedes,Chikungunya,Chikungunya,Chikungunya,Culex,Culex,Culex,Dengue,Dengue,Dengue,Usutu,Usutu,Usutu,West Nile,West Nile,West Nile,Zika,Zika,Zika,Aedes,Aedes,Aedes,Chikungunya,Chikungunya,Chikungunya,Culex,Culex,Culex,Dengue,Dengue,Dengue,Usutu,Usutu,Usutu,West Nile,West Nile,West Nile,Zika,Zika,Zika,Aedes,Aedes,Aedes,Chikungunya,Chikungunya,Chikungunya,Culex,Culex,Culex,Dengue,Dengue,Dengue,Usutu,Usutu,Usutu,West Nile,West Nile,West Nile,Zika,Zika,Zika,Aedes,Aedes,Aedes,Chikungunya,Chikungunya,Chikungunya,Culex,Culex,Culex,Dengue,Dengue,Dengue,Usutu,Usutu,Usutu,West Nile,West Nile,West Nile,Zika,Zika,Zika
,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio,total_count,count,ratio
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-01,10,0,0.0,10,0,0.0,10,0,0.0,10,0,0.0,10,0,0.0,10,0,0.0,10,0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,80,0,0.0,80,0,0.0,80,0,0.0,80,0,0.0,80,0,0.0,80,0,0.0,80,0,0.0
2010-01-02,19,0,0.0,19,0,0.0,19,0,0.0,19,0,0.0,19,0,0.0,19,0,0.0,19,0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0.0,3,0,0.0,3,0,0.0,3,0,0.0,3,0,0.0,3,0,0.0,3,0,0.0,46,0,0.0,46,0,0.0,46,0,0.0,46,0,0.0,46,0,0.0,46,0,0.0,46,0,0.0
2010-01-03,10,0,0.0,10,0,0.0,10,0,0.0,10,1,0.1,10,0,0.0,10,0,0.0,10,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3,0,0.0,3,0,0.0,3,0,0.0,3,0,0.0,3,0,0.0,3,0,0.0,3,0,0.0,44,0,0.0,44,0,0.0,44,0,0.0,44,0,0.0,44,0,0.0,44,0,0.0,44,0,0.0
2010-01-04,24,0,0.0,24,0,0.0,24,0,0.0,24,1,0.041666666666666664,24,0,0.0,24,0,0.0,24,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,126.0,0.0,0.0,126.0,0.0,0.0,126.0,0.0,0.0,126.0,0.0,0.0,126.0,0.0,0.0,126.0,0.0,0.0,126.0,0.0,0.0,7,0,0.0,7,0,0.0,7,0,0.0,7,0,0.0,7,0,0.0,7,0,0.0,7,0,0.0,110,0,0.0,110,0,0.0,110,0,0.0,110,0,0.0,110,0,0.0,110,0,0.0,110,0,0.0
2010-01-05,29,0,0.0,29,0,0.0,29,0,0.0,29,0,0.0,29,0,0.0,29,0,0.0,29,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,35.0,0.0,0.0,35.0,0.0,0.0,35.0,0.0,0.0,35.0,0.0,0.0,35.0,0.0,0.0,35.0,0.0,0.0,35.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6,0,0.0,6,0,0.0,6,0,0.0,6,0,0.0,6,0,0.0,6,0,0.0,6,0,0.0,108,0,0.0,108,0,0.0,108,0,0.0,108,0,0.0,108,0,0.0,108,0,0.0,108,0,0.0
2010-01-06,24,0,0.0,24,0,0.0,24,0,0.0,24,0,0.0,24,0,0.0,24,0,0.0,24,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,4,0,0.0,4,0,0.0,4,0,0.0,4,0,0.0,4,0,0.0,4,0,0.0,4,0,0.0,77,0,0.0,77,0,0.0,77,0,0.0,77,0,0.0,77,0,0.0,77,0,0.0,77,0,0.0
2010-01-07,30,0,0.0,30,0,0.0,30,0,0.0,30,0,0.0,30,0,0.0,30,0,0.0,30,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10,0,0.0,10,0,0.0,10,0,0.0,10,0,0.0,10,0,0.0,10,0,0.0,10,0,0.0,73,0,0.0,73,0,0.0,73,0,0.0,73,0,0.0,73,0,0.0,73,0,0.0,73,0,0.0
