,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France
,Aedes,Aedes,Aedes,Aedes,Aedes,Aedes,Chikungunya,Chikungunya,Chikungunya,Chikungunya,Chikungunya,Chikungunya,Culex,Culex,Culex,Culex,Culex,Culex,Dengue,Dengue,Dengue,Dengue,Dengue,Dengue,Usutu,Usutu,Usutu,Usutu,Usutu,Usutu,West Nile,West Nile,West Nile,West Nile,West Nile,West Nile,Zika,Zika,Zika,Zika,Zika,Zika,Aedes,Aedes,Aedes,Aedes,Aedes,Aedes,Chikungunya,Chikungunya,Chikungunya,Chikungunya,Chikungunya,Chikungunya,Culex,Culex,Culex,Culex,Culex,Culex,Dengue,Dengue,Dengue,Dengue,Dengue,Dengue,Usutu,Usutu,Usutu,Usutu,Usutu,Usutu,West Nile,West Nile,West Nile,West Nile,West Nile,West Nile,Zika,Zika,Zika,Zika,Zika,Zika,Aedes,Aedes,Aedes,Aedes,Aedes,Aedes,Chikungunya,Chikungunya,Chikungunya,Chikungunya,Chikungunya,Chikungunya,Culex,Culex,Culex,Culex,Culex,Culex,Dengue,Dengue,Dengue,Dengue,Dengue,Dengue,Usutu,Usutu,Usutu,Usutu,Usutu,Usutu,West Nile,West Nile,West Nile,West Nile,West Nile,West Nile,Zika,Zika,Zika,Zika,Zika,Zika,Aedes,Aedes,Aedes,Aedes,Aedes,Aedes,Chikungunya,Chikungunya,Chikungunya,Chikungunya,Chikungunya,Chikungunya,Culex,Culex,Culex,Culex,Culex,Culex,Dengue,Dengue,Dengue,Dengue,Dengue,Dengue,Usutu,Usutu,Usutu,Usutu,Usutu,Usutu,West Nile,West Nile,West Nile,West Nile,West Nile,West Nile,Zika,Zika,Zika,Zika,Zika,Zika,Aedes,Aedes,Aedes,Aedes,Aedes,Aedes,Chikungunya,Chikungunya,Chikungunya,Chikungunya,Chikungunya,Chikungunya,Culex,Culex,Culex,Culex,Culex,Culex,Dengue,Dengue,Dengue,Dengue,Dengue,Dengue,Usutu,Usutu,Usutu,Usutu,Usutu,Usutu,West Nile,West Nile,West Nile,West Nile,West Nile,West Nile,Zika,Zika,Zika,Zika,Zika,Zika,Aedes,Aedes,Aedes,Aedes,Aedes,Aedes,Chikungunya,Chikungunya,Chikungunya,Chikungunya,Chikungunya,Chikungunya,Culex,Culex,Culex,Culex,Culex,Culex,Dengue,Dengue,Dengue,Dengue,Dengue,Dengue,Usutu,Usutu,Usutu,Usutu,Usutu,Usutu,West Nile,West Nile,West Nile,West Nile,West Nile,West Nile,Zika,Zika,Zika,Zika,Zika,Zika
,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size
0,tigermücke,365,0.365,364,0.364,1000,chikungunya,399,0.399,399,0.399,1000,mücken,359,0.37,347,0.358,970,dengue,746,0.746,745,0.745,1000,virus,365,0.365,361,0.361,1000,west,743,0.743,741,0.741,1000,zika,823,0.823,817,0.817,1000,virus,73,0.13,73,0.13,561,chikungunya,84,0.17,84,0.17,495,gelsen,23,0.247,23,0.247,93,dengue,161,0.161,161,0.161,1000,wintervogelzählung,14,0.189,14,0.189,74,west,133,0.297,133,0.297,448,zika,607,0.607,607,0.607,1000,tigermücke,202,0.202,201,0.201,1000,zika,141,0.166,140,0.165,851,mücken,26,0.271,26,0.271,96,dengue,240,0.24,238,0.238,1000,vögel,13.0,0.361,13.0,0.361,36.0,virus,49,0.198,49,0.198,247,zika,753,0.753,718,0.718,1000,dengue,336,0.336,332,0.332,1000,chikungunya,526,0.526,526,0.526,1000,west,425,0.498,424,0.497,853,dengue,645,0.645,639,0.639,1000,virus,77,0.517,77,0.517,149,west,252,0.417,252,0.417,605,zika,790,0.791,784,0.785,999,mosquito,573,0.573,568,0.568,1000,chikungunya,250,0.25,250,0.25,1000,nilo,438,0.438,436,0.436,1000,quebrantahuesos,777,0.777,777,0.777,1000,virus,50,0.286,49,0.28,175,nilo,954,0.954,952,0.952,1000,zika,926,0.926,922,0.922,1000,tigre,432,0.432,432,0.432,1000,chikungunya,569,0.569,569,0.569,1000,virus,142,0.287,141,0.285,494,dengue,474,0.474,474,0.474,1000,virus,64,0.582,64,0.582,110,virus,365,0.365,363,0.363,1000,zika,795,0.795,794,0.794,1000
1,asiatische,228,0.228,228,0.228,1000,virus,261,0.261,261,0.261,1000,virus,159,0.164,157,0.162,970,fieber,555,0.555,555,0.555,1000,usutu,262,0.262,262,0.262,1000,nil,743,0.743,741,0.741,1000,virus,493,0.493,493,0.493,1000,zika,71,0.127,71,0.127,561,virus,78,0.158,78,0.158,495,west,19,0.204,19,0.204,93,zika,94,0.094,94,0.094,1000,virus,12,0.162,12,0.162,74,nil,133,0.297,133,0.297,448,virus,386,0.386,385,0.385,1000,tigre,149,0.149,149,0.149,1000,virus,125,0.147,125,0.147,851,nil,14,0.146,14,0.146,96,fieber,100,0.1,98,0.098,1000,70'000,9.0,0.25,9.0,0.25,36.0,nil,48,0.194,48,0.194,247,virus,415,0.415,401,0.401,1000,zanzara,302,0.302,302,0.302,1000,casi,229,0.229,228,0.228,1000,nile,423,0.496,422,0.495,853,febbre,246,0.246,245,0.245,1000,west,63,0.423,63,0.423,149,nile,251,0.415,251,0.415,605,virus,404,0.404,403,0.403,999,tigre,523,0.523,522,0.522,1000,virus,126,0.126,126,0.126,1000,virus,429,0.429,427,0.427,1000,picos,165,0.165,165,0.165,1000,mosquitos,35,0.2,35,0.2,175,virus,837,0.837,835,0.835,1000,virus,441,0.441,440,0.44,1000,moustique,430,0.43,428,0.428,1000,cas,192,0.192,185,0.185,1000,moustique,136,0.275,135,0.273,494,cas,210,0.21,210,0.21,1000,usutu,46,0.418,46,0.418,110,cas,235,0.235,228,0.228,1000,virus,490,0.49,488,0.488,1000
2,deutschland,194,0.194,193,0.193,1000,spanien,127,0.127,127,0.127,1000,west,138,0.142,138,0.142,970,brasilien,123,0.123,123,0.123,1000,amseln,212,0.212,211,0.211,1000,virus,705,0.705,699,0.699,1000,deutschland,127,0.127,125,0.125,1000,gelsen,66,0.118,66,0.118,561,zika,48,0.097,48,0.097,495,nil,19,0.204,19,0.204,93,virus,87,0.087,87,0.087,1000,kohlmeise,12,0.162,12,0.162,74,virus,88,0.196,88,0.196,448,who,95,0.095,95,0.095,1000,moustique,126,0.126,123,0.123,1000,tigermücke,107,0.126,106,0.125,851,virus,14,0.146,14,0.146,96,zika,78,0.078,74,0.074,1000,fast,8.0,0.222,8.0,0.222,36.0,west,42,0.17,42,0.17,247,cas,72,0.072,72,0.072,1000,tigre,260,0.26,260,0.26,1000,virus,163,0.163,163,0.163,1000,zanzare,256,0.3,254,0.298,853,casi,187,0.187,186,0.186,1000,nile,63,0.423,63,0.423,149,virus,156,0.258,154,0.255,605,rio,129,0.129,129,0.129,999,españa,288,0.288,288,0.288,1000,mosquitos,98,0.098,98,0.098,1000,mosquitos,397,0.397,396,0.396,1000,europa,158,0.158,158,0.158,1000,usutu,32,0.183,32,0.183,175,sevilla,259,0.259,259,0.259,1000,caso,195,0.195,195,0.195,1000,dengue,217,0.217,217,0.217,1000,réunion,123,0.123,123,0.123,1000,tigre,114,0.231,114,0.231,494,moustiques,173,0.173,173,0.173,1000,france,38,0.345,38,0.345,110,nil,212,0.212,212,0.212,1000,cas,214,0.214,214,0.214,1000
3,mücken,148,0.148,148,0.148,1000,tigermücke,127,0.127,126,0.126,1000,nil,134,0.138,134,0.138,970,reisende,113,0.113,113,0.113,1000,amselsterben,151,0.151,151,0.151,1000,deutschland,289,0.289,289,0.289,1000,fälle,101,0.101,101,0.101,1000,tigermücke,56,0.0998,56,0.0998,561,impfstoff,36,0.0727,36,0.0727,495,virus,16,0.172,16,0.172,93,fieber,78,0.078,78,0.078,1000,amseln,8,0.108,8,0.108,74,fieber,66,0.147,66,0.147,448,brasilien,89,0.089,89,0.089,1000,zika,116,0.116,115,0.115,1000,chikungunya,90,0.106,90,0.106,851,west,13,0.135,13,0.135,96,virus,70,0.07,69,0.069,1000,meisen,8.0,0.222,8.0,0.222,36.0,zika,18,0.0729,18,0.0729,247,brasilien,56,0.056,56,0.056,1000,zanzare,191,0.191,190,0.19,1000,zanzare,140,0.14,140,0.14,1000,virus,207,0.243,206,0.242,853,disinfestazione,140,0.14,140,0.14,1000,usutu,58,0.389,58,0.389,149,nilo,155,0.256,155,0.256,605,casi,95,0.0951,95,0.0951,999,mosquitos,185,0.185,184,0.184,1000,españa,85,0.085,85,0.085,1000,mosquito,184,0.184,183,0.183,1000,dengue,77,0.077,77,0.077,1000,mallorca,27,0.154,27,0.154,175,occidental,221,0.221,221,0.221,1000,españa,137,0.137,136,0.136,1000,cas,203,0.203,201,0.201,1000,tigre,105,0.105,105,0.105,1000,moustiques,111,0.225,109,0.221,494,moustique,158,0.158,154,0.154,1000,cas,19,0.173,19,0.173,110,occidental,186,0.186,186,0.186,1000,transmission,68,0.068,68,0.068,1000
4,breitet,125,0.125,125,0.125,1000,deutschland,118,0.118,118,0.118,1000,stechmücken,131,0.135,131,0.135,970,mücken,108,0.108,108,0.108,1000,vögel,114,0.114,114,0.114,1000,italien,177,0.177,177,0.177,1000,europa,91,0.091,91,0.091,1000,chikungunya,43,0.0766,43,0.0766,561,österreich,34,0.0687,34,0.0687,495,österreich,10,0.108,10,0.108,93,tote,57,0.057,57,0.057,1000,wintervögel,8,0.108,8,0.108,74,österreich,54,0.121,54,0.121,448,olympia,72,0.072,72,0.072,1000,tigermücken,91,0.091,91,0.091,1000,moustique,85,0.0999,82,0.0964,851,breitet,11,0.115,11,0.115,96,tote,54,0.054,54,0.054,1000,atemnot,8.0,0.222,8.0,0.222,36.0,schweiz,16,0.0648,16,0.0648,247,rio,49,0.049,49,0.049,1000,casi,129,0.129,128,0.128,1000,dengue,116,0.116,116,0.116,1000,febbre,133,0.156,133,0.156,853,zanzare,103,0.103,102,0.102,1000,casi,49,0.329,46,0.309,149,casi,126,0.208,125,0.207,605,brasile,68,0.0681,68,0.0681,999,dengue,159,0.159,157,0.157,1000,agosto,83,0.083,81,0.081,1000,sevilla,121,0.121,121,0.121,1000,andalucía,71,0.071,71,0.071,1000,caso,25,0.143,25,0.143,175,mosquitos,190,0.19,190,0.19,1000,casos,125,0.125,125,0.125,1000,france,183,0.183,181,0.181,1000,moustique,103,0.103,103,0.103,1000,france,86,0.174,86,0.174,494,tigre,151,0.151,151,0.151,1000,moustique,17,0.155,17,0.155,110,france,135,0.135,134,0.134,1000,sexuelle,63,0.063,63,0.063,1000
5,europa,83,0.083,83,0.083,1000,breitet,112,0.112,112,0.112,1000,deutschland,104,0.107,104,0.107,970,wissen,96,0.096,96,0.096,1000,sterben,89,0.089,89,0.089,1000,fieber,168,0.168,168,0.168,1000,brasilien,82,0.082,82,0.082,1000,tigermücken,40,0.0713,40,0.0713,561,tigermücke,33,0.0667,33,0.0667,495,hochwasser,10,0.108,10,0.108,93,klimawandel,49,0.049,49,0.049,1000,höhenflug,7,0.0946,7,0.0946,74,tote,43,0.096,43,0.096,448,usa,47,0.047,47,0.047,1000,virus,81,0.081,81,0.081,1000,tigre,81,0.0952,81,0.0952,851,tigermücke,11,0.115,11,0.115,96,schweiz,52,0.052,52,0.052,1000,gelähmte,8.0,0.222,8.0,0.222,36.0,klimawandel,15,0.0607,15,0.0607,247,who,47,0.047,47,0.047,1000,italia,108,0.108,108,0.108,1000,italia,93,0.093,93,0.093,1000,nilo,127,0.149,127,0.149,853,virus,80,0.08,80,0.08,1000,zanzare,29,0.195,29,0.195,149,febbre,123,0.203,123,0.203,605,2016,57,0.0571,57,0.0571,999,casos,117,0.117,117,0.117,1000,casos,79,0.079,79,0.079,1000,españa,115,0.115,115,0.115,1000,años,51,0.051,51,0.051,1000,españa,25,0.143,25,0.143,175,andalucía,190,0.19,190,0.19,1000,confirma,90,0.09,90,0.09,1000,chikungunya,144,0.144,144,0.144,1000,vaccin,101,0.101,101,0.101,1000,cas,86,0.174,83,0.168,494,zika,134,0.134,133,0.133,1000,détecté,10,0.0909,10,0.0909,110,moustiques,100,0.1,100,0.1,1000,france,58,0.058,57,0.057,1000
6,tigermücken,71,0.071,71,0.071,1000,mücken,81,0.081,78,0.078,1000,mückenplage,82,0.0845,82,0.0845,970,italien,95,0.095,95,0.095,1000,vogel,89,0.089,89,0.089,1000,breitet,168,0.168,168,0.168,1000,who,81,0.081,81,0.081,1000,dengue,37,0.066,37,0.066,561,gelsen,29,0.0586,29,0.0586,495,gelsenplage,10,0.108,10,0.108,93,gelsen,47,0.047,47,0.047,1000,stunde,6,0.0811,6,0.0811,74,gelsen,39,0.0871,39,0.0871,448,schwangere,46,0.046,46,0.046,1000,dengue,57,0.057,57,0.057,1000,tigermücken,79,0.0928,75,0.0881,851,italien,10,0.104,10,0.104,96,fälle,44,0.044,44,0.044,1000,tauben,8.0,0.222,8.0,0.222,36.0,grössten,15,0.0607,15,0.0607,247,schweiz,33,0.033,33,0.033,1000,disinfestazione,106,0.106,106,0.106,1000,zanzara,85,0.085,85,0.085,1000,casi,111,0.13,111,0.13,853,italia,76,0.076,76,0.076,1000,italia,24,0.161,24,0.161,149,zanzare,108,0.179,108,0.179,605,oms,56,0.0561,56,0.0561,999,zika,84,0.084,84,0.084,1000,zika,71,0.071,71,0.071,1000,tigre,97,0.097,96,0.096,1000,nace,49,0.049,49,0.049,1000,baleares,20,0.114,20,0.114,175,casos,133,0.133,133,0.133,1000,oms,88,0.088,88,0.088,1000,zika,111,0.111,111,0.111,1000,santé,86,0.086,84,0.084,1000,nil,65,0.132,65,0.132,494,virus,132,0.132,131,0.131,1000,moustiques,9,0.0818,9,0.0818,110,west,94,0.094,94,0.094,1000,guillain,55,0.055,55,0.055,1000
7,ausbreitung,69,0.069,69,0.069,1000,china,80,0.08,80,0.08,1000,italien,71,0.0732,71,0.0732,970,schützen,92,0.092,92,0.092,1000,vogelzählung,84,0.084,84,0.084,1000,tote,126,0.126,126,0.126,1000,schwangere,64,0.064,64,0.064,1000,österreich,32,0.057,32,0.057,561,breitet,28,0.0566,28,0.0566,495,mücken,9,0.0968,9,0.0968,93,who,46,0.046,46,0.046,1000,amsel,5,0.0676,5,0.0676,74,europa,28,0.0625,28,0.0625,448,rio,44,0.044,43,0.043,1000,schweiz,55,0.055,55,0.055,1000,asiatische,38,0.0447,38,0.0447,851,mücke,10,0.104,10,0.104,96,philippinen,44,0.044,44,0.044,1000,tote,8.0,0.222,8.0,0.222,36.0,italien,13,0.0526,13,0.0526,247,fälle,29,0.029,29,0.029,1000,virus,106,0.106,106,0.106,1000,west,79,0.079,79,0.079,1000,zanzara,101,0.118,101,0.118,853,west,63,0.063,63,0.063,1000,febbre,24,0.161,24,0.161,149,italia,69,0.114,69,0.114,605,microcefalia,55,0.0551,55,0.0551,999,sanidad,77,0.077,77,0.077,1000,mosquito,65,0.065,65,0.065,1000,casos,85,0.085,84,0.084,1000,siglo,47,0.047,47,0.047,1000,enfermedades,20,0.114,20,0.114,175,fiebre,128,0.128,128,0.128,1000,microcefalia,81,0.081,81,0.081,1000,moustiques,107,0.107,107,0.107,1000,virus,84,0.084,80,0.08,1000,occidental,58,0.117,58,0.117,494,france,109,0.109,109,0.109,1000,transmis,8,0.0727,8,0.0727,110,nile,94,0.094,94,0.094,1000,barré,55,0.055,55,0.055,1000
