,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,France,France,France,France,France,France,France,France,France,France,France,France
,Aedes-borne disease system,Aedes-borne disease system,Aedes-borne disease system,Aedes-borne disease system,Aedes-borne disease system,Aedes-borne disease system,Culex-borne disease system,Culex-borne disease system,Culex-borne disease system,Culex-borne disease system,Culex-borne disease system,Culex-borne disease system,Aedes-borne disease system,Aedes-borne disease system,Aedes-borne disease system,Aedes-borne disease system,Aedes-borne disease system,Aedes-borne disease system,Culex-borne disease system,Culex-borne disease system,Culex-borne disease system,Culex-borne disease system,Culex-borne disease system,Culex-borne disease system,Aedes-borne disease system,Aedes-borne disease system,Aedes-borne disease system,Aedes-borne disease system,Aedes-borne disease system,Aedes-borne disease system,Culex-borne disease system,Culex-borne disease system,Culex-borne disease system,Culex-borne disease system,Culex-borne disease system,Culex-borne disease system,Aedes-borne disease system,Aedes-borne disease system,Aedes-borne disease system,Aedes-borne disease system,Aedes-borne disease system,Aedes-borne disease system,Culex-borne disease system,Culex-borne disease system,Culex-borne disease system,Culex-borne disease system,Culex-borne disease system,Culex-borne disease system,Aedes-borne disease system,Aedes-borne disease system,Aedes-borne disease system,Aedes-borne disease system,Aedes-borne disease system,Aedes-borne disease system,Culex-borne disease system,Culex-borne disease system,Culex-borne disease system,Culex-borne disease system,Culex-borne disease system,Culex-borne disease system,Aedes-borne disease system,Aedes-borne disease system,Aedes-borne disease system,Aedes-borne disease system,Aedes-borne disease system,Aedes-borne disease system,Culex-borne disease system,Culex-borne disease system,Culex-borne disease system,Culex-borne disease system,Culex-borne disease system,Culex-borne disease system
,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size,term,term_count,term_ratio,doc_count,doc_ratio,sample_size
0,deutschland,254,0.254,254,0.254,1000,west,664,0.664,662,0.662,1000,zika,367,0.367,367,0.367,1000,west,133,0.244,133,0.244,545,zika,320,0.32,310,0.31,1000,virus,50,0.146,50,0.146,343,dengue,408,0.408,404,0.404,1000,west,467,0.467,466,0.466,1000,zika,347,0.347,345,0.345,1000,nilo,796,0.796,794,0.794,1000,moustique,447,0.447,438,0.438,1000,virus,388,0.388,386,0.386,1000
1,tigermücke,220,0.22,219,0.219,1000,nil,664,0.664,662,0.662,1000,virus,301,0.301,300,0.3,1000,nil,133,0.244,133,0.244,545,virus,211,0.211,209,0.209,1000,nil,48,0.14,48,0.14,343,zika,212,0.212,211,0.211,1000,nile,464,0.464,463,0.463,1000,mosquito,339,0.339,337,0.337,1000,virus,739,0.739,736,0.736,1000,tigre,441,0.441,441,0.441,1000,cas,258,0.258,250,0.25,1000
2,asiatische,171,0.171,171,0.171,1000,virus,663,0.663,656,0.656,1000,dengue,116,0.116,116,0.116,1000,virus,95,0.174,95,0.174,545,dengue,133,0.133,131,0.131,1000,west,42,0.122,42,0.122,343,casi,192,0.192,190,0.19,1000,virus,279,0.279,276,0.276,1000,tigre,274,0.274,273,0.273,1000,mosquitos,306,0.306,306,0.306,1000,dengue,219,0.219,219,0.219,1000,nil,213,0.213,213,0.213,1000
3,virus,166,0.166,165,0.165,1000,deutschland,247,0.247,247,0.247,1000,fieber,68,0.068,68,0.068,1000,fieber,66,0.121,66,0.121,545,tigermücke,122,0.122,121,0.121,1000,mücken,33,0.0962,33,0.0962,343,virus,184,0.184,184,0.184,1000,zanzare,235,0.235,234,0.234,1000,españa,273,0.273,272,0.272,1000,sevilla,216,0.216,216,0.216,1000,zika,184,0.184,184,0.184,1000,occidental,186,0.186,186,0.186,1000
4,mücken,157,0.157,157,0.157,1000,italien,175,0.175,175,0.175,1000,chikungunya,60,0.06,60,0.06,1000,österreich,55,0.101,55,0.101,545,moustique,113,0.113,110,0.11,1000,tigermücke,19,0.0554,19,0.0554,343,zanzare,175,0.175,175,0.175,1000,nilo,224,0.224,224,0.224,1000,virus,220,0.22,220,0.22,1000,occidental,213,0.213,213,0.213,1000,cas,183,0.183,176,0.176,1000,france,157,0.157,157,0.157,1000
5,zika,119,0.119,118,0.118,1000,fieber,148,0.148,148,0.148,1000,who,59,0.059,59,0.059,1000,gelsen,52,0.0954,52,0.0954,545,tigre,110,0.11,110,0.11,1000,zika,18,0.0525,18,0.0525,343,zanzara,142,0.142,142,0.142,1000,febbre,199,0.199,199,0.199,1000,mosquitos,158,0.158,157,0.157,1000,andalucía,143,0.143,143,0.143,1000,france,180,0.18,178,0.178,1000,moustiques,141,0.141,139,0.139,1000
6,europa,113,0.113,113,0.113,1000,breitet,139,0.139,139,0.139,1000,brasilien,55,0.055,55,0.055,1000,tote,43,0.0789,43,0.0789,545,fieber,92,0.092,90,0.09,1000,schweiz,16,0.0466,16,0.0466,343,febbre,125,0.125,124,0.124,1000,casi,193,0.193,192,0.192,1000,dengue,156,0.156,155,0.155,1000,caso,123,0.123,123,0.123,1000,chikungunya,160,0.16,160,0.16,1000,west,95,0.095,95,0.095,1000
7,klimawandel,108,0.108,108,0.108,1000,tote,127,0.127,127,0.127,1000,europa,48,0.048,48,0.048,1000,europa,28,0.0514,28,0.0514,545,tigermücken,59,0.059,59,0.059,1000,tote,15,0.0437,15,0.0437,343,chikungunya,112,0.112,112,0.112,1000,italia,97,0.097,97,0.097,1000,casos,148,0.148,148,0.148,1000,salud,108,0.108,107,0.107,1000,santé,132,0.132,130,0.13,1000,nile,95,0.095,95,0.095,1000
