country,qid,year,month,views,total_views,views_norm
France,Q8071861,2020,2,293,872750761,0.33572013121395605
France,Q8071861,2020,3,1398,974918147,1.4339665379107975
France,Q8071861,2020,4,849,1134231023,0.7485247562303716
France,Q8071861,2020,5,732,1084785304,0.6747879025470279
France,Q8071861,2020,6,385,878046129,0.4384735463027137
France,Q8071861,2020,7,359,846119140,0.4242901301109912
France,Q8071861,2020,8,440,833220634,0.5280714159558367
France,Q8071861,2020,9,490,820015249,0.5975498633684555
France,Q8071861,2020,10,351,905851339,0.3874807983255628
France,Q8071861,2020,11,461,1036446190,0.4447891308279111
France,Q8071861,2020,12,349,1016869361,0.3432102621882419
France,Q8071861,2021,1,478,1026387492,0.46571105330656154
France,Q8071861,2021,2,281,912893537,0.30781245414819935
France,Q8071861,2021,3,442,1001687821,0.4412552401393328
France,Q8071861,2021,4,395,973048271,0.40594080660978843
France,Q8071861,2021,5,492,1000296515,0.49185415786438086
France,Q8071861,2021,6,363,869617497,0.41742490376777686
France,Q8071861,2021,7,462,833732527,0.5541345515958261
France,Q8071861,2021,8,459,875768402,0.5241111679203972
France,Q8071861,2021,9,330,841141143,0.3923241690723004
France,Q8071861,2021,10,325,904126879,0.35946282269526464
France,Q8071861,2021,11,358,919750582,0.3892359591896404
France,Q8071861,2021,12,278,912028409,0.3048150663473467
France,Q8071861,2022,1,400,1010423601,0.39587357184068783
France,Q8071861,2022,2,248,913565308,0.2714638984518007
France,Q8071861,2022,3,289,943600446,0.3062737000868268
France,Q8071861,2022,4,383,890367476,0.430159468223882
France,Q8071861,2022,5,484,1121683719,0.43149418307639714
France,Q8071861,2022,6,315,1041100279,0.30256451405676743
France,Q8071861,2022,7,265,1065512494,0.24870660972277628
France,Q8071861,2022,8,312,1077926913,0.2894444848136007
France,Q8071861,2022,9,313,1132524513,0.27637370883114826
France,Q8071861,2022,10,275,1331515134,0.20653163676320632
France,Q8071861,2022,11,302,1345107583,0.2245173574343012
France,Q8071861,2022,12,240,1335877183,0.17965723425339766
France,Q8071861,2023,1,322,1460542230,0.22046606622254256
France,Q8071861,2023,2,321,1120336981,0.2865209356148175
France,Q8071861,2023,3,301,1207401767,0.24929564311296884
France,Q8071861,2023,4,238,1114711904,0.21350808145671332
France,Q8071861,2023,5,284,1086000340,0.2615100470410534
France,Q8071861,2023,6,284,938656264,0.3025601712705345
France,Q8071861,2023,7,369,1026263229,0.35955687544174886
France,Q8071861,2023,8,359,1138264718,0.31539236376471785
France,Q8071861,2023,9,268,1259974462,0.21270272381123864
France,Q8071861,2023,10,232,1300282127,0.17842281700454382
France,Q8071861,2023,11,264,1197136167,0.22052629206047536
France,Q8071861,2023,12,281,1133013491,0.2480111686507712
France,Q8071861,2024,1,323,1309784571,0.24660543966661216
France,Q8071861,2024,2,218,1112986352,0.19586942787596734
France,Q8071861,2024,3,325,1192545486,0.2725262925526683
France,Q8071861,2024,4,268,1004009603,0.2669297178027091
France,Q8071861,2024,5,342,966309456,0.35392388833251776
France,Q8071861,2024,6,347,955000728,0.3633505083568899
France,Q8071861,2024,7,665,904675669,0.7350700618875603
France,Q8071861,2024,8,952,1025672394,0.9281716126601726
France,Q8071861,2024,9,593,951637286,0.6231365760084352
France,Q8071861,2024,10,433,1022104086,0.423635915295617
France,Q8071861,2024,11,428,1188772051,0.3600353824267358
France,Q8071861,2024,12,370,1018339794,0.3633364837356047
France,Q8071861,2025,1,673,1547811209,0.43480755022752904
France,Q8071861,2025,2,483,1023633774,0.47184844059277786
France,Q8071861,2025,3,516,1042223698,0.4950952477766438
France,Q8071861,2025,4,561,1004282241,0.5586079063206296
France,Q8071861,2025,5,519,993153468,0.5225778459447519
France,Q8071861,2025,6,505,889307505,0.5678575713807791
France,Q8071861,2025,7,644,850948651,0.7568024219125298
France,Q8071861,2025,8,826,868565937,0.9509928547888703
France,Q8071861,2025,9,509,903295430,0.5634922784896631
France,Q8071861,2025,10,251,865956600,0.28985286329592036
France,Q8071861,2025,11,307,904573964,0.33938628815100413
France,Q8071861,2025,12,229,931359562,0.24587711271063326
Italy,Q8071861,2020,3,281,738000719,0.3807584366323632
Italy,Q8071861,2020,4,380,873511786,0.43502561280838864
Italy,Q8071861,2020,5,165,824269570,0.20017723085422162
Italy,Q8071861,2020,6,124,622888901,0.19907241853391122
Italy,Q8071861,2020,7,139,588884242,0.23603959842416702
Italy,Q8071861,2020,8,174,602987441,0.2885632239892705
Italy,Q8071861,2020,9,125,586173319,0.21324750879696727
Italy,Q8071861,2020,10,113,615576002,0.18356790978346166
Italy,Q8071861,2020,11,133,735976856,0.18071220435225208
Italy,Q8071861,2020,12,200,725163318,0.2757999405590452
Italy,Q8071861,2021,1,238,796221601,0.2989117598682179
Italy,Q8071861,2021,2,173,662764204,0.26102797790811283
Italy,Q8071861,2021,3,197,768570778,0.25631991956894307
Italy,Q8071861,2021,4,242,703218495,0.34413201831388124
Italy,Q8071861,2021,5,155,689670137,0.22474512333422955
Italy,Q8071861,2021,6,410,595186183,0.6888600772508189
Italy,Q8071861,2021,7,415,586606062,0.7074594466089918
Italy,Q8071861,2021,8,437,621041641,0.703656520191373
Italy,Q8071861,2021,9,476,580191651,0.8204185620037473
Italy,Q8071861,2021,10,252,603008075,0.41790485144000766
Italy,Q8071861,2021,11,263,594588135,0.4423229871547975
Italy,Q8071861,2021,12,278,610725786,0.4551961066205906
Italy,Q8071861,2022,1,559,733881704,0.7617031422819066
Italy,Q8071861,2022,2,244,616432064,0.39582626253523373
Italy,Q8071861,2022,3,198,623457416,0.31758383959939934
Italy,Q8071861,2022,4,224,583061494,0.3841790313801789
Italy,Q8071861,2022,5,164,592116904,0.2769723324771015
Italy,Q8071861,2022,6,126,539115806,0.23371601907735573
Italy,Q8071861,2022,7,147,564273534,0.2605119523468559
Italy,Q8071861,2022,8,174,621798635,0.27983335794875136
Italy,Q8071861,2022,9,84,686761567,0.122313192869746
Italy,Q8071861,2022,10,104,650044548,0.15998903508994586
Italy,Q8071861,2022,11,83,639998096,0.12968788582146032
