country,qid,title,year,month,views,total_views,views_norm
Germany,Q7367,Mücke,2015,7,2607,1093033898,2.385104437081237
Germany,Q7367,Mücke,2015,8,2780,1087269211,2.5568644562675837
Germany,Q7367,Mücke,2015,9,1568,1108423885,1.4146212664841664
Germany,Q7367,Mücke,2015,10,1092,1158854443,0.9423098876620521
Germany,Q7367,Mücke,2015,11,944,1206836745,0.7822101903269444
Germany,Q7367,Mücke,2015,12,865,1187087036,0.7286744558467236
Germany,Q7367,Mücke,2016,1,917,1348922409,0.6798018877007179
Germany,Q7367,Mücke,2016,2,832,1204338063,0.6908359251948678
Germany,Q7367,Mücke,2016,3,698,1219587401,0.5723247054107604
Germany,Q7367,Mücke,2016,4,869,1177747252,0.7378493123412526
Germany,Q7367,Mücke,2016,5,1328,1148854347,1.1559341734379145
Germany,Q7367,Mücke,2016,6,2333,1152350599,2.024557458489246
Germany,Q7367,Mücke,2016,7,3623,1112834024,3.2556517161268967
Germany,Q7367,Mücke,2016,8,2421,1094763358,2.2114368208512873
Germany,Q7367,Mücke,2016,9,2115,1083591539,1.9518424829634997
Germany,Q7367,Mücke,2016,10,928,1184452296,0.7834844874157769
Germany,Q7367,Mücke,2016,11,619,1189754310,0.5202754844401446
Germany,Q7367,Mücke,2016,12,416,1159446053,0.35879202738551214
Germany,Q7367,Mücke,2017,1,578,1353848487,0.42693108242916694
Germany,Q7367,Mücke,2017,2,497,1182769881,0.42020008116862084
Germany,Q7367,Mücke,2017,3,647,1241127916,0.5213000140108041
Germany,Q7367,Mücke,2017,4,676,1094640899,0.6175541226511398
Germany,Q7367,Mücke,2017,5,1099,1144323431,0.9603928139788305
Germany,Q7367,Mücke,2017,6,1808,1035022419,1.7468220656967237
Germany,Q7367,Mücke,2017,7,1835,1022086139,1.795347701119739
Germany,Q7367,Mücke,2017,8,2417,1016484293,2.3778035889434053
Germany,Q7367,Mücke,2017,9,1307,1006251376,1.2988802114194575
Germany,Q7367,Mücke,2017,10,777,1076485389,0.7217933545032073
Germany,Q7367,Mücke,2017,11,580,1063160000,0.5455434741713383
Germany,Q7367,Mücke,2017,12,414,1049394376,0.3945132635244845
Germany,Q7367,Mücke,2018,1,479,1166226353,0.41072644154183335
Germany,Q7367,Mücke,2018,2,467,1035955200,0.45079169446709666
Germany,Q7367,Mücke,2018,3,567,1121576949,0.5055382071694129
Germany,Q7367,Mücke,2018,4,792,1008146417,0.7856001733922743
Germany,Q7367,Mücke,2018,5,1371,1057526575,1.2964213216107596
Germany,Q7367,Mücke,2018,6,1619,1015156095,1.5948286258380786
Germany,Q7367,Mücke,2018,7,1654,1042637652,1.5863612798053834
Germany,Q7367,Mücke,2018,8,1359,1040184702,1.3064987375674748
Germany,Q7367,Mücke,2018,9,997,989160046,1.0079258700669353
Germany,Q7367,Mücke,2018,10,701,1083325465,0.6470816228805255
Germany,Q7367,Mücke,2018,11,456,1105631825,0.41243385880286143
Germany,Q7367,Mücke,2018,12,321,1112110903,0.28864027781229296
Germany,Q7367,Mücke,2019,1,397,1271637354,0.3121959250026875
Germany,Q7367,Mücke,2019,2,361,1055144682,0.34213317487013595
Germany,Q7367,Mücke,2019,3,512,1140397575,0.44896623004481573
Germany,Q7367,Mücke,2019,4,531,1063777384,0.49916458836842503
Germany,Q7367,Mücke,2019,5,584,1122558014,0.5202403730734936
Germany,Q7367,Mücke,2019,6,1283,1000588871,1.2822449231498598
Germany,Q7367,Mücke,2019,7,1164,1074397364,1.0833980415462001
Germany,Q7367,Mücke,2019,8,1221,1067655399,1.1436274299213278
Germany,Q7367,Mücke,2019,9,729,1030450970,0.7074572407845857
Germany,Q7367,Mücke,2019,10,499,1098563288,0.45422963378692477
Germany,Q7367,Mücke,2019,11,366,1093311328,0.33476283527540657
Germany,Q7367,Mücke,2019,12,342,1111933553,0.3075723356645575
Germany,Q7367,Mücke,2020,1,356,1238790419,0.2873771015176055
Germany,Q7367,Mücke,2020,2,345,1065319385,0.3238465429782825
Germany,Q7367,Mücke,2020,3,536,1130202962,0.4742511018122778
Germany,Q7367,Mücke,2020,4,829,1208842876,0.6857797787112905
Germany,Q7367,Mücke,2020,5,1024,1248175741,0.8203972937173116
Germany,Q7367,Mücke,2020,6,1294,1080045720,1.1980974286903336
Germany,Q7367,Mücke,2020,7,1545,1180018227,1.3093018096236577
Germany,Q7367,Mücke,2020,8,1619,1128829442,1.4342290693016846
Germany,Q7367,Mücke,2020,9,886,1023570665,0.8655972961085202
Germany,Q7367,Mücke,2020,10,429,1084426625,0.3956007627533122
Germany,Q7367,Mücke,2020,11,408,1139024832,0.35820114587282326
Germany,Q7367,Mücke,2020,12,295,1149194453,0.2567015523177086
Germany,Q7367,Mücke,2021,1,374,1303769890,0.28686043669868766
Germany,Q7367,Mücke,2021,2,342,1137786226,0.3005837056072781
Germany,Q7367,Mücke,2021,3,423,1216327743,0.347768109733891
Germany,Q7367,Mücke,2021,4,698,1206347214,0.578606218756518
Germany,Q7367,Mücke,2021,5,1189,1204508809,0.9871243706279944
Germany,Q7367,Mücke,2021,6,3035,1046929112,2.8989546333295584
Germany,Q7367,Mücke,2021,7,2489,1029694717,2.4172212976402014
Germany,Q7367,Mücke,2021,8,2469,1046535795,2.3592121853796697
Germany,Q7367,Mücke,2021,9,1975,996134749,1.9826634920452915
Germany,Q7367,Mücke,2021,10,966,1068121026,0.9043918961295684
Germany,Q7367,Mücke,2021,11,421,1050913768,0.40060375343755134
Germany,Q7367,Mücke,2021,12,381,1113037393,0.34230655896751166
Germany,Q7367,Mücke,2022,1,478,1249910936,0.38242724840036124
Germany,Q7367,Mücke,2022,2,487,1103146777,0.441464372786723
Germany,Q7367,Mücke,2022,3,598,1124066971,0.5319967719254336
Germany,Q7367,Mücke,2022,4,659,1031848397,0.638659711946037
Germany,Q7367,Mücke,2022,5,1496,1027137223,1.4564753048580736
Germany,Q7367,Mücke,2022,6,2065,991623233,2.0824441494302905
Germany,Q7367,Mücke,2022,7,1941,999957014,1.9410834394127265
Germany,Q7367,Mücke,2022,8,2044,1039286534,1.966733843969925
Germany,Q7367,Mücke,2022,9,1357,1047252504,1.2957715496663065
Germany,Q7367,Mücke,2022,10,1181,1112474516,1.061597351682616
Germany,Q7367,Mücke,2022,11,735,1076312574,0.6828871256873378
Germany,Q7367,Mücke,2022,12,479,1076134373,0.4451116998192938
Germany,Q7367,Mücke,2023,1,586,1172752345,0.4996792396096211
Germany,Q7367,Mücke,2023,2,480,1008121796,0.4761329453489963
Germany,Q7367,Mücke,2023,3,578,1130556117,0.5112528173601488
Germany,Q7367,Mücke,2023,4,573,1058416300,0.5413748824540967
Germany,Q7367,Mücke,2023,5,1493,1065602480,1.4010853278044173
Germany,Q7367,Mücke,2023,6,1681,1019080224,1.6495266617989046
Germany,Q7367,Mücke,2023,7,1265,1096200614,1.1539858524472602
Germany,Q7367,Mücke,2023,8,1179,1072558100,1.0992411506658708
Germany,Q7367,Mücke,2023,9,1110,992596368,1.1182793286223267
Germany,Q7367,Mücke,2023,10,699,1104086001,0.6331028555446742
Germany,Q7367,Mücke,2023,11,389,1078845169,0.3605707391363403
Germany,Q7367,Mücke,2023,12,366,1155406164,0.3167717218444751
Germany,Q7367,Mücke,2024,1,503,1335740029,0.37657028244977453
Germany,Q7367,Mücke,2024,2,562,1116155910,0.5035138863351089
Germany,Q7367,Mücke,2024,3,637,1142964188,0.5573227986387269
Germany,Q7367,Mücke,2024,4,970,1077280119,0.9004157627084177
Germany,Q7367,Mücke,2024,5,1520,1083180889,1.4032743888264816
Germany,Q7367,Mücke,2024,6,1665,1055978549,1.576736574409335
Germany,Q7367,Mücke,2024,7,1691,1063682946,1.5897594357031273
Germany,Q7367,Mücke,2024,8,1674,1068072391,1.5673094952231565
Germany,Q7367,Mücke,2024,9,1055,1019541571,1.0347787966754718
