country,qid,year,month,views,total_views,views_norm
AT,Q11627066,2024,9,177,1019541571.0,0.17360743792564787
AT,Q11627066,2025,8,100,993169707.0,0.10068772667469206
AT,Q15794049,2023,9,139,992596368.0,0.14003678079144452
AT,Q15794049,2025,9,132,978761012.0,0.13486438301242837
AT,Q158856,2023,5,681,1065602480.0,0.6390750892396572
AT,Q158856,2024,2,103,1116155910.0,0.09228101475536693
AT,Q158856,2024,7,233,1063682946.0,0.2190502356705078
AT,Q158856,2024,8,1727,1068072391.0,1.616931599910628
AT,Q158856,2024,9,3206,1019541571.0,3.144550542314277
AT,Q158856,2025,7,1088,965067983.0,1.1273817173147271
AT,Q158856,2025,8,1394,993169707.0,1.4035869098452074
AT,Q158856,2025,9,91,978761012.0,0.09297468828887108
AT,Q158856,2026,1,1520,1172287155.0,1.2966106414430516
AT,Q158856,2026,2,123,939520552.0,0.13091783861264591
AT,Q243257,2023,6,332,1019080224.0,0.3257839688978206
AT,Q243257,2023,9,518,992596368.0,0.5218636866904192
AT,Q243257,2025,7,2100,965067983.0,2.1760125058464403
AT,Q243257,2025,8,701,993169707.0,0.7058209639895914
AT,Q243257,2025,9,676,978761012.0,0.6906691130030422
AT,Q243257,2025,10,785,1047346829.0,0.749512939041896
AT,Q243257,2026,2,103,939520552.0,0.10963038517969535
AT,Q27958,2024,6,98,1055978549.0,0.09280491549075966
AT,Q30953,2023,6,113,1019080224.0,0.11088430266702928
AT,Q30953,2023,7,202,1096200614.0,0.18427283967932534
AT,Q30953,2023,8,862,1072558100.0,0.803686066050874
AT,Q30953,2023,9,4512,992596368.0,4.545654352021566
AT,Q30953,2023,10,398,1104086001.0,0.3604791652457515
AT,Q30953,2023,12,104,1155406164.0,0.09001163680826615
AT,Q30953,2024,2,881,1116155910.0,0.7893162524221191
AT,Q30953,2024,3,102,1142964188.0,0.08924164122629535
AT,Q30953,2024,7,96,1063682946.0,0.0902524576153165
AT,Q30953,2025,7,214,965067983.0,0.22174603631006584
AT,Q30953,2025,8,105,993169707.0,0.10572211300842667
AT,Q30953,2026,4,111,940856808.0,0.11797757007886794
AT,Q477918,2023,5,3295,1065602480.0,3.092147458215375
AT,Q477918,2023,6,3462,1019080224.0,3.3971810250730567
AT,Q477918,2023,7,2841,1096200614.0,2.591678898658234
AT,Q477918,2023,8,2665,1072558100.0,2.484713881700208
AT,Q477918,2023,9,3678,992596368.0,3.7054336672728994
AT,Q477918,2023,10,208,1104086001.0,0.18839112153546816
AT,Q477918,2023,11,180,1078845169.0,0.1668450720939364
AT,Q477918,2024,3,165,1142964188.0,0.14436147845430133
AT,Q477918,2024,4,91,1077280119.0,0.08447199423347013
AT,Q477918,2024,5,547,1083180889.0,0.5049941386105825
AT,Q477918,2024,6,3369,1055978549.0,3.190405717228258
AT,Q477918,2024,7,3936,1063682946.0,3.700350762227977
AT,Q477918,2024,8,5353,1068072391.0,5.0118325734346225
AT,Q477918,2024,9,2707,1019541571.0,2.6551148839815184
AT,Q477918,2024,10,366,1066646637.0,0.34313144325790434
AT,Q477918,2025,4,97,1028668272.0,0.09429667720907406
AT,Q477918,2025,5,98,1026492186.0,0.09547077058801887
