country,qid,year,month,views
AT,Q11627066,2024,9,177
AT,Q11627066,2025,8,100
AT,Q15794049,2023,9,139
AT,Q15794049,2025,9,132
AT,Q158856,2023,5,681
AT,Q158856,2024,2,103
AT,Q158856,2024,7,233
AT,Q158856,2024,8,1727
AT,Q158856,2024,9,3206
AT,Q158856,2025,7,1088
AT,Q158856,2025,8,1394
AT,Q158856,2025,9,91
AT,Q158856,2026,1,1520
AT,Q158856,2026,2,123
AT,Q243257,2023,6,332
AT,Q243257,2023,9,518
AT,Q243257,2025,7,2100
AT,Q243257,2025,8,701
AT,Q243257,2025,9,676
AT,Q243257,2025,10,785
AT,Q243257,2026,2,103
AT,Q27958,2024,6,98
AT,Q30953,2023,6,113
AT,Q30953,2023,7,202
AT,Q30953,2023,8,862
AT,Q30953,2023,9,4512
AT,Q30953,2023,10,398
AT,Q30953,2023,12,104
AT,Q30953,2024,2,881
AT,Q30953,2024,3,102
AT,Q30953,2024,7,96
AT,Q30953,2025,7,214
AT,Q30953,2025,8,105
AT,Q30953,2026,4,111
AT,Q477918,2023,5,3295
AT,Q477918,2023,6,3462
AT,Q477918,2023,7,2841
AT,Q477918,2023,8,2665
AT,Q477918,2023,9,3678
AT,Q477918,2023,10,208
AT,Q477918,2023,11,180
AT,Q477918,2024,3,165
AT,Q477918,2024,4,91
AT,Q477918,2024,5,547
AT,Q477918,2024,6,3369
AT,Q477918,2024,7,3936
AT,Q477918,2024,8,5353
AT,Q477918,2024,9,2707
AT,Q477918,2024,10,366
AT,Q477918,2025,4,97
AT,Q477918,2025,5,98
AT,Q477918,2025,6,1109
AT,Q477918,2025,7,4231
AT,Q477918,2025,8,9791
AT,Q477918,2025,9,4487
AT,Q477918,2025,10,185
AT,Q477918,2026,1,129
AT,Q477918,2026,2,228
AT,Q477918,2026,5,3402
AT,Q477918,2026,6,2176
CH,Q158856,2024,8,104
CH,Q158856,2025,7,572
CH,Q158856,2025,8,547
CH,Q158856,2025,9,759
CH,Q243257,2024,8,169
CH,Q243257,2025,7,2711
CH,Q243257,2025,8,964
CH,Q243257,2025,9,1107
CH,Q30953,2023,7,100
CH,Q30953,2023,8,316
CH,Q30953,2023,9,1883
CH,Q30953,2023,10,318
CH,Q30953,2024,1,328
CH,Q30953,2024,2,439
CH,Q30953,2024,4,97
CH,Q30953,2024,7,209
CH,Q30953,2024,8,110
CH,Q30953,2025,5,353
CH,Q30953,2026,1,116
CH,Q30953,2026,3,382
CH,Q477918,2023,4,545
CH,Q477918,2023,5,199
CH,Q477918,2023,6,940
CH,Q477918,2023,7,1469
CH,Q477918,2023,8,1333
CH,Q477918,2023,9,369
CH,Q477918,2023,10,105
CH,Q477918,2024,2,460
CH,Q477918,2024,4,155
CH,Q477918,2024,5,521
CH,Q477918,2024,6,697
CH,Q477918,2024,7,444
CH,Q477918,2024,8,1305
CH,Q477918,2024,9,1492
CH,Q477918,2025,5,306
CH,Q477918,2025,6,487
CH,Q477918,2025,7,1265
CH,Q477918,2025,8,3197
CH,Q477918,2025,9,520
CH,Q477918,2026,5,200
DE,Q11627066,2023,5,1085
DE,Q11627066,2023,7,97
DE,Q11627066,2024,8,1127
DE,Q11627066,2024,9,138
DE,Q11627066,2025,7,210
DE,Q11627066,2025,8,510
DE,Q11627066,2026,6,386
DE,Q15794049,2023,6,119
DE,Q15794049,2024,1,131
DE,Q15794049,2025,7,2832
DE,Q15794049,2025,8,3311
DE,Q15794049,2025,9,1150
DE,Q15794049,2025,10,212
DE,Q15794049,2026,6,133
DE,Q158856,2023,2,702
DE,Q158856,2023,3,299
DE,Q158856,2023,4,188
DE,Q158856,2023,5,18805
DE,Q158856,2023,6,5822
DE,Q158856,2023,7,4711
DE,Q158856,2023,8,4995
DE,Q158856,2023,9,5408
DE,Q158856,2023,10,2832
DE,Q158856,2023,11,728
DE,Q158856,2023,12,243
DE,Q158856,2024,1,363
DE,Q158856,2024,2,697
DE,Q158856,2024,3,260
DE,Q158856,2024,4,142
DE,Q158856,2024,5,613
DE,Q158856,2024,6,724
DE,Q158856,2024,7,3218
DE,Q158856,2024,8,15564
DE,Q158856,2024,9,14908
DE,Q158856,2024,10,4094
DE,Q158856,2024,11,4956
DE,Q158856,2025,1,131
DE,Q158856,2025,5,131
DE,Q158856,2025,7,4327
DE,Q158856,2025,8,15160
DE,Q158856,2025,9,4426
DE,Q158856,2025,10,789
DE,Q158856,2026,2,1125
DE,Q158856,2026,6,5673
DE,Q202864,2023,3,107
DE,Q202864,2023,4,879
DE,Q202864,2023,5,578
DE,Q202864,2023,6,586
DE,Q202864,2023,7,488
DE,Q202864,2023,8,2140
DE,Q202864,2023,9,1271
DE,Q202864,2024,1,311
DE,Q202864,2024,2,557
DE,Q202864,2024,3,102
DE,Q202864,2024,4,147
DE,Q202864,2024,6,361
DE,Q202864,2024,8,137
DE,Q202864,2025,7,237
DE,Q202864,2025,8,2180
DE,Q202864,2025,9,157
DE,Q202864,2025,10,825
DE,Q202864,2026,3,103
DE,Q202864,2026,4,101
DE,Q243257,2023,6,1821
DE,Q243257,2023,7,380
DE,Q243257,2023,9,308
DE,Q243257,2023,11,245
DE,Q243257,2024,8,144
DE,Q243257,2025,4,649
DE,Q243257,2025,5,1571
DE,Q243257,2025,6,762
DE,Q243257,2025,7,40542
DE,Q243257,2025,8,27090
DE,Q243257,2025,9,16423
DE,Q243257,2025,10,8032
DE,Q243257,2025,11,3885
DE,Q243257,2025,12,3278
DE,Q243257,2026,1,2081
DE,Q243257,2026,2,3650
DE,Q243257,2026,3,4259
DE,Q243257,2026,4,1184
DE,Q243257,2026,5,514
DE,Q243257,2026,6,1077
DE,Q2502726,2024,8,11326
DE,Q2502726,2024,9,8726
DE,Q2502726,2024,10,321
DE,Q27958,2023,5,498
DE,Q27958,2023,6,468
DE,Q27958,2023,7,239
DE,Q27958,2023,8,1146
DE,Q27958,2023,9,1239
DE,Q27958,2024,4,127
DE,Q27958,2024,5,335
DE,Q27958,2024,6,1319
DE,Q27958,2024,7,690
DE,Q27958,2024,8,549
DE,Q27958,2024,9,221
DE,Q30953,2023,2,4581
DE,Q30953,2023,3,5917
DE,Q30953,2023,4,6380
DE,Q30953,2023,5,6410
DE,Q30953,2023,6,7763
DE,Q30953,2023,7,13875
DE,Q30953,2023,8,11473
DE,Q30953,2023,9,36910
DE,Q30953,2023,10,10229
DE,Q30953,2023,11,5597
DE,Q30953,2023,12,6631
DE,Q30953,2024,1,8101
DE,Q30953,2024,2,17030
DE,Q30953,2024,3,12959
DE,Q30953,2024,4,13554
DE,Q30953,2024,5,10586
DE,Q30953,2024,6,24910
DE,Q30953,2024,7,53640
DE,Q30953,2024,8,11552
DE,Q30953,2024,9,6766
DE,Q30953,2024,10,5725
DE,Q30953,2024,11,4680
DE,Q30953,2024,12,3293
DE,Q30953,2025,1,4742
DE,Q30953,2025,2,3802
DE,Q30953,2025,3,5165
DE,Q30953,2025,4,1164
DE,Q30953,2025,5,2703
DE,Q30953,2025,6,3777
DE,Q30953,2025,7,4859
DE,Q30953,2025,8,7256
DE,Q30953,2025,9,5250
DE,Q30953,2025,10,3331
DE,Q30953,2025,11,2520
DE,Q30953,2025,12,4514
DE,Q30953,2026,1,3192
DE,Q30953,2026,2,2482
DE,Q30953,2026,3,1944
DE,Q30953,2026,4,2374
DE,Q30953,2026,5,3370
DE,Q30953,2026,6,2171
DE,Q477918,2023,2,116
DE,Q477918,2023,3,908
DE,Q477918,2023,4,7455
DE,Q477918,2023,5,18838
DE,Q477918,2023,6,22825
DE,Q477918,2023,7,18235
