Keyword,System,Sub-type,qid,label,description,verified
Aedes albopictus,Aedes-borne disease system,Aedes,Q477918,Asian tiger mosquito,species of insect,
Aedes mosquito,Aedes-borne disease system,Aedes,Q477918,Asian tiger mosquito,species of insect,
Asian tiger mosquito,Aedes-borne disease system,Aedes,Q477918,Asian tiger mosquito,species of insect,
Tiger mosquito,Aedes-borne disease system,Aedes,Q477918,Asian tiger mosquito,species of insect,
Zika,Aedes-borne disease system,Zika,Q8071861,Zika fever,infectious arboviral disease,
Zika virus,Aedes-borne disease system,Zika,Q202864,Zika virus,species of virus,
Zika fever,Aedes-borne disease system,Zika,Q8071861,Zika fever,infectious arboviral disease,
Dengue,Aedes-borne disease system,Dengue,Q30953,dengue fever,"tropical disease caused by the dengue virus, transmitted by mosquito",
Dengue fever,Aedes-borne disease system,Dengue,Q30953,dengue fever,"tropical disease caused by the dengue virus, transmitted by mosquito",
Breakbone fever,Aedes-borne disease system,Dengue,Q30953,dengue fever,"tropical disease caused by the dengue virus, transmitted by mosquito",
Break-bone fever,Aedes-borne disease system,Dengue,Q30953,dengue fever,"tropical disease caused by the dengue virus, transmitted by mosquito",
Break bone fever,Aedes-borne disease system,Dengue,Q30953,dengue fever,"tropical disease caused by the dengue virus, transmitted by mosquito",
Chikungunya,Aedes-borne disease system,Chikungunya,Q243257,chikungunya,infection caused by the chikungunya virus,
Chikungunya virus,Aedes-borne disease system,Chikungunya,Q15794049,Chikungunya virus,virus that causes the Chikungunya fever,
West Nile virus,Culex-borne disease system,West Nile,Q158856,West Nile virus,species of virus,
West Nile fever,Culex-borne disease system,West Nile,Q11627066,West Nile fever,human disease,
West Nile disease,Culex-borne disease system,West Nile,Q11627066,West Nile fever,human disease,
Culex pipiens,Culex-borne disease system,Culex,Q27958,Culex pipiens,species of mosquito,
Common house mosquito,Culex-borne disease system,Culex,Q27958,Culex pipiens,species of mosquito,
Culex mosquito,Culex-borne disease system,Culex,Q27958,Culex pipiens,species of mosquito,
Usutu virus,Culex-borne disease system,Usutu,Q2502726,Usutu virus,species of virus,
Culex torrentium,Culex-borne disease system,Culex,Q13855063,Culex torrentium,species of insect,
Culex modestus,Culex-borne disease system,Culex,Q3007097,Culex modestus,species of mosquito,
